# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231218
# Data de termino: 20231231
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20231222;221;208;134;0.551440329218107;0.6063348416289592;32.022624434389144;1856;0;0
web / mobile;20231218;95;80;73;0.6886792452830188;0.7684210526315789;124.49473684210527;2125;0;0
web / mobile;20231219;85;66;67;0.6767676767676768;0.788235294117647;129.24705882352941;1971;0;0
web / mobile;20231221;73;55;57;0.6705882352941176;0.7808219178082192;63.36986301369863;992;0;0
web / mobile;20231223;64;51;44;0.5714285714285714;0.6875;85.890625;1155;0;0
web / mobile;20231225;60;45;51;0.7083333333333334;0.85;67.1;805;0;0
web / desktop;20231218;55;36;58;0.7945205479452054;1.0545454545454545;758.4727272727273;1805;0;0
web / desktop;20231222;55;42;46;0.71875;0.8363636363636363;275.3454545454546;1361;0;0
web / mobile;20231228;54;46;40;0.6060606060606061;0.7407407407407407;42.425925925925924;481;0;0
web / mobile;20231231;50;39;39;0.5909090909090909;0.78;67.72;535;0;0
web / desktop;20231219;49;21;57;0.8142857142857143;1.163265306122449;169.77551020408163;2328;0;0
web / desktop;20231220;49;21;51;0.7727272727272727;1.0408163265306123;120.71428571428571;1172;0;0
web / mobile;20231220;47;33;38;0.6129032258064516;0.8085106382978723;54.51063829787234;579;0;0
web / mobile;20231227;47;33;44;0.6567164179104478;0.9361702127659575;84.04255319148936;878;0;0
web / mobile;20231226;46;36;43;0.7543859649122807;0.9347826086956522;94.95652173913044;821;0;0
web / mobile;20231224;45;34;33;0.6;0.7333333333333333;60.51111111111111;714;0;0
web / mobile;20231230;41;31;32;0.6530612244897959;0.7804878048780488;115.2439024390244;759;0;0
web / desktop;20231221;38;18;39;0.8666666666666667;1.0263157894736843;341.36842105263156;1898;0;0
web / mobile;20231229;33;29;24;0.48;0.7272727272727273;37.666666666666664;337;0;0
web / desktop;20231226;32;16;32;0.7272727272727273;1;722.8125;1387;0;0
web / desktop;20231227;29;15;35;0.7777777777777778;1.206896551724138;321.7241379310345;1036;0;0
web / desktop;20231229;29;14;32;0.7111111111111111;1.103448275862069;192.51724137931035;1418;0;0
web / desktop;20231228;27;10;34;0.7083333333333334;1.2592592592592593;156.2962962962963;731;0;0
web / desktop;20231224;26;14;34;0.7555555555555555;1.3076923076923077;592.7692307692307;1057;0;0
web / desktop;20231223;23;12;30;0.7894736842105263;1.3043478260869565;295.1304347826087;1658;0;0
web / desktop;20231225;19;9;19;0.6785714285714286;1;547.578947368421;794;0;0
web / desktop;20231230;19;7;30;0.7142857142857143;1.5789473684210527;462.10526315789474;1958;0;0
web / desktop;20231231;15;8;16;0.7619047619047619;1.0666666666666667;58.666666666666664;389;0;0
web / tablet;20231229;3;3;3;1;1;78.66666666666667;37;0;0
web / tablet;20231220;1;1;1;1;1;188;42;0;0
web / tablet;20231221;1;1;1;1;1;13;5;0;0
web / tablet;20231222;1;1;1;1;1;22;8;0;0
web / tablet;20231223;1;0;1;1;1;956;116;0;0
web / tablet;20231226;1;1;0;0;0;8;4;0;0
web / tablet;20231230;1;1;0;0;0;1;5;0;0
