# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240617
# Data de termino: 20240623
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
web / desktop;20240620;67;45;53;0.5698924731182796;0.7910447761194029;181.1044776119403;3569;0;0
web / desktop;20240619;47;16;56;0.8;1.1914893617021276;258.74468085106383;3117;0;0
web / mobile;20240619;47;30;32;0.5333333333333333;0.6808510638297872;90.38297872340425;552;0;0
web / desktop;20240621;44;19;53;0.828125;1.2045454545454546;157.8181818181818;1620;0;0
web / mobile;20240623;42;48;5;0.07462686567164178;0.11904761904761904;84.26190476190476;620;0;0
web / mobile;20240617;37;23;28;0.6363636363636364;0.7567567567567568;90.56756756756756;404;0;0
web / mobile;20240621;37;28;27;0.6;0.7297297297297297;57.78378378378378;394;0;0
web / desktop;20240618;36;14;49;0.8166666666666667;1.3611111111111112;227.69444444444446;2579;0;0
web / mobile;20240618;36;24;36;0.7659574468085106;1;77.63888888888889;399;0;0
web / mobile;20240622;34;20;29;0.6590909090909091;0.8529411764705882;83.94117647058823;454;0;0
web / desktop;20240617;33;13;38;0.7450980392156863;1.1515151515151516;189.8181818181818;1610;0;0
web / desktop;20240622;33;13;37;0.6851851851851852;1.121212121212121;179.8181818181818;1071;0;0
web / desktop;20240623;30;7;7;0.14583333333333334;0.23333333333333334;109.46666666666667;624;0;0
web / mobile;20240620;27;23;23;0.6388888888888888;0.8518518518518519;151.62962962962962;634;0;0
web / tablet;20240620;2;2;1;0.5;0.5;67;16;0;0
web / tablet;20240619;1;1;1;1;1;124;8;0;0
