# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240422
# Data de termino: 20240428
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20240425;122;102;88;0.6027397260273972;0.7213114754098361;48.58196721311475;1263;0;0
web / mobile;20240428;107;85;84;0.6942148760330579;0.7850467289719626;89.20560747663552;1604;0;0
web / mobile;20240424;67;53;64;0.8205128205128205;0.9552238805970149;201.82089552238807;1590;0;0
web / mobile;20240422;64;41;57;0.7125;0.890625;152.609375;1622;0;0
web / mobile;20240427;64;44;57;0.6785714285714286;0.890625;124.921875;1336;0;0
web / desktop;20240425;60;30;71;0.7888888888888889;1.1833333333333333;146.53333333333333;1827;0;0
web / mobile;20240426;59;42;57;0.7402597402597403;0.9661016949152542;113.08474576271186;922;0;0
web / mobile;20240423;57;41;54;0.7941176470588235;0.9473684210526315;100.56140350877193;721;0;0
web / desktop;20240426;51;21;60;0.8108108108108109;1.1764705882352942;241.01960784313727;1722;0;0
web / desktop;20240422;50;21;63;0.75;1.26;278.68;1700;0;0
web / desktop;20240428;38;19;41;0.803921568627451;1.0789473684210527;357.1842105263158;1344;0;0
web / desktop;20240424;35;9;42;0.7777777777777778;1.2;403.74285714285713;1193;0;0
web / desktop;20240423;34;12;43;0.8431372549019608;1.2647058823529411;484.0882352941176;1580;0;0
web / desktop;20240427;31;9;41;0.803921568627451;1.3225806451612903;553.258064516129;1293;0;0
web / tablet;20240428;2;2;1;0.5;0.5;31;12;0;0
web / tablet;20240425;1;1;1;1;1;10;4;0;0
