# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240603
# Data de termino: 20240609
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
web / mobile;20240608;64;45;64;0.7710843373493976;1;121.703125;1168;0;0
web / mobile;20240604;60;41;49;0.6447368421052632;0.8166666666666667;105.43333333333334;863;0;0
web / mobile;20240609;51;31;46;0.7666666666666667;0.9019607843137255;98.76470588235294;567;0;0
web / desktop;20240605;47;18;47;0.7230769230769231;1;201.48936170212767;1680;0;0
web / desktop;20240603;46;21;52;0.8253968253968254;1.1304347826086956;186.08695652173913;1313;0;0
web / mobile;20240603;46;36;42;0.7;0.9130434782608695;106.3913043478261;810;0;0
web / mobile;20240607;46;34;40;0.625;0.8695652173913043;83.82608695652173;462;0;0
web / mobile;20240606;44;28;39;0.6190476190476191;0.8863636363636364;148.45454545454547;892;0;0
web / desktop;20240606;39;15;54;0.8307692307692308;1.3846153846153846;355.46153846153845;2016;0;0
web / desktop;20240604;38;15;39;0.75;1.0263157894736843;329.05263157894734;1891;0;0
web / mobile;20240605;35;24;37;0.7708333333333334;1.0571428571428572;126.22857142857143;1192;0;0
web / desktop;20240607;34;11;51;0.8947368421052632;1.5;485.8529411764706;3205;0;0
web / desktop;20240608;30;9;29;0.6904761904761905;0.9666666666666667;203.56666666666666;701;0;0
web / desktop;20240609;30;11;32;0.8;1.0666666666666667;400.53333333333336;1423;0;0
web / tablet;20240603;1;1;0;0;0;0;3;0;0
web / tablet;20240605;1;1;1;1;1;12;5;0;0
web / tablet;20240607;1;1;0;0;0;7;5;0;0
