# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240415
# Data de termino: 20240421
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
Adversarios;2024041715;13;13;0;32.76923076923077;0;0
Estatisticas Fluminense - Principal;2024042020;13;12;3;8.538461538461538;0;0
Fluminense x Vasco-RJ;2024042018;13;13;5;21.23076923076923;0;0
Estatisticas Fluminense - Principal;2024041715;12;12;3;14.583333333333334;0;0
Estatisticas Fluminense - Principal;2024042018;11;11;0;16.272727272727273;0;0
Estatisticas Fluminense - Principal;2024041920;9;9;2;20.444444444444443;0;0
Estatisticas Fluminense - Principal;2024041619;8;8;4;9.75;0;0
Estatisticas Fluminense - Principal;2024041719;8;8;3;5.625;0;0
Sampaio Correa 2 X 1 Fluminense;2024041715;8;8;5;26.5;0;0
Estatisticas Fluminense - Principal;2024041518;7;7;2;12.571428571428571;0;0
Estatisticas Fluminense - Principal;2024041614;7;6;2;35;0;0
Estatisticas Fluminense - Principal;2024041620;7;7;3;141.71428571428572;0;0
Estatisticas Fluminense - Principal;2024041714;7;7;3;29.571428571428573;0;0
Estatisticas Fluminense - Principal;2024041917;7;5;3;11.142857142857142;0;0
Adversarios;2024042113;6;6;0;24.333333333333332;0;0
Estatisticas Fluminense - Principal;2024041508;6;6;3;10.833333333333334;0;0
Estatisticas Fluminense - Principal;2024041511;6;6;0;17;0;0
Estatisticas Fluminense - Principal;2024041603;6;6;4;0.5;0;0
Estatisticas Fluminense - Principal;2024041610;6;6;3;94.16666666666667;0;0
Estatisticas Fluminense - Principal;2024041611;6;6;2;4.666666666666667;0;0
Estatisticas Fluminense - Principal;2024041618;6;6;2;6.666666666666667;0;0
Estatisticas Fluminense - Principal;2024041623;6;6;2;25.666666666666668;0;0
Estatisticas Fluminense - Principal;2024041709;6;6;2;91;0;0
