# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240708
# Data de termino: 20240714
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
web / desktop;20240713;223;215;18;0.0782608695652174;0.08071748878923767;31.506726457399104;1390;0;0
web / mobile;20240711;50;36;49;0.6901408450704225;0.98;94.38;932;0;0
web / desktop;20240711;43;14;50;0.7936507936507936;1.1627906976744187;258.3488372093023;1461;0;0
web / mobile;20240708;42;29;33;0.5409836065573771;0.7857142857142857;58.023809523809526;387;0;0
web / mobile;20240709;42;28;43;0.6615384615384615;1.0238095238095237;74.61904761904762;712;0;0
web / mobile;20240714;39;30;28;0.5384615384615384;0.717948717948718;151.53846153846155;786;0;0
web / desktop;20240714;38;29;20;0.46511627906976744;0.5263157894736842;154.1578947368421;764;0;0
web / mobile;20240712;37;25;41;0.7192982456140351;1.1081081081081081;184.35135135135135;1103;0;0
web / desktop;20240709;36;17;38;0.7916666666666666;1.0555555555555556;142.91666666666666;921;0;0
web / desktop;20240708;35;15;45;0.8181818181818182;1.2857142857142858;215.14285714285714;1519;0;0
web / desktop;20240710;34;8;43;0.8958333333333334;1.2647058823529411;217.88235294117646;1220;0;0
web / desktop;20240712;33;16;47;0.7833333333333333;1.4242424242424243;213.03030303030303;1669;0;0
web / mobile;20240713;32;23;26;0.6190476190476191;0.8125;112.15625;484;0;0
web / mobile;20240710;27;19;21;0.6;0.7777777777777778;106.03703703703704;392;0;0
web / tablet;20240708;1;1;0;0;0;0;3;0;0
web / tablet;20240709;1;1;0;0;0;8;5;0;0
web / tablet;20240710;1;0;2;1;2;68;16;0;0
web / tablet;20240711;1;0;1;1;1;29;9;0;0
web / tablet;20240712;1;0;2;1;2;181;72;0;0
