# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240401
# Data de termino: 20240407
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20240403;74;58;65;0.7065217391304348;0.8783783783783784;58.891891891891895;728;0;0
web / mobile;20240402;50;38;34;0.6181818181818182;0.68;95.74;648;0;0
web / mobile;20240407;46;34;46;0.71875;1;277.6521739130435;1463;0;0
web / desktop;20240403;44;22;58;0.8529411764705882;1.3181818181818181;274.5681818181818;2237;0;0
web / mobile;20240404;44;32;33;0.6226415094339622;0.75;62.38636363636363;509;0;0
web / mobile;20240406;36;23;30;0.625;0.8333333333333334;170.69444444444446;747;0;0
web / desktop;20240402;34;17;37;0.8409090909090909;1.088235294117647;222.2058823529412;1551;0;0
web / mobile;20240405;34;23;34;0.723404255319149;1;185.94117647058823;859;0;0
web / desktop;20240405;32;10;43;0.86;1.34375;346.8125;3622;0;0
web / mobile;20240401;28;22;22;0.6666666666666666;0.7857142857142857;91.85714285714286;404;0;0
web / desktop;20240404;27;12;26;0.7222222222222222;0.9629629629629629;303.55555555555554;1342;0;0
web / desktop;20240401;26;9;26;0.7647058823529411;1;184.07692307692307;836;0;0
web / desktop;20240406;19;4;30;0.8823529411764706;1.5789473684210527;168.31578947368422;595;0;0
web / desktop;20240407;17;7;23;0.8214285714285714;1.3529411764705883;177.64705882352942;388;0;0
web / tablet;20240402;1;1;1;1;1;7;4;0;0
