# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240109
# Data de termino: 20240121
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20240121;152;119;124;0.7005649717514124;0.8157894736842105;169.30263157894737;4066;0;0
web / mobile;20240109;89;76;65;0.6842105263157895;0.7303370786516854;51.19101123595506;661;0;0
web / mobile;20240118;79;60;60;0.6060606060606061;0.759493670886076;74.50632911392405;1303;0;0
web / mobile;20240120;75;55;60;0.6741573033707865;0.8;68.24;1082;0;0
web / mobile;20240110;67;52;57;0.6705882352941176;0.8507462686567164;82.32835820895522;774;0;0
web / mobile;20240111;67;49;60;0.7228915662650602;0.8955223880597015;71.6268656716418;966;0;0
web / mobile;20240113;67;49;64;0.7804878048780488;0.9552238805970149;158.8955223880597;1519;0;0
web / mobile;20240117;58;43;48;0.6486486486486487;0.8275862068965517;175.05172413793105;2559;0;0
web / mobile;20240119;56;40;44;0.6984126984126984;0.7857142857142857;111.94642857142857;998;0;0
web / mobile;20240112;50;36;42;0.6086956521739131;0.84;112.16;999;0;0
web / mobile;20240116;50;32;45;0.6617647058823529;0.9;59.52;750;0;0
web / mobile;20240114;48;35;39;0.6842105263157895;0.8125;121.1875;1024;0;0
web / desktop;20240109;45;21;53;0.8548387096774194;1.1777777777777778;564.6666666666666;2237;0;0
web / desktop;20240118;44;17;52;0.8387096774193549;1.1818181818181819;321.6363636363636;2635;0;0
web / desktop;20240116;43;21;47;0.8103448275862069;1.0930232558139534;782.3255813953489;1586;0;0
web / desktop;20240120;39;15;46;0.7666666666666667;1.1794871794871795;315.0769230769231;1713;0;0
web / mobile;20240115;38;29;29;0.6590909090909091;0.7631578947368421;57.81578947368421;449;0;0
web / desktop;20240111;35;16;54;0.8571428571428571;1.542857142857143;1126.8285714285714;3517;0;0
web / desktop;20240119;35;7;45;0.7258064516129032;1.2857142857142858;230.11428571428573;1770;0;0
web / desktop;20240121;35;14;48;0.7868852459016393;1.3714285714285714;903.8285714285714;1858;0;0
web / desktop;20240117;33;13;39;0.8478260869565217;1.1818181818181819;376.24242424242425;1227;0;0
web / desktop;20240115;30;13;38;0.8260869565217391;1.2666666666666666;765.1;1743;0;0
web / desktop;20240112;28;10;35;0.8333333333333334;1.25;318.0357142857143;2073;0;0
web / desktop;20240110;27;8;43;0.7962962962962963;1.5925925925925926;960.3333333333334;2225;0;0
web / desktop;20240114;24;7;42;0.8076923076923077;1.75;1215.1666666666667;2376;0;0
web / desktop;20240113;19;7;33;0.75;1.736842105263158;996.2631578947369;2189;0;0
web / tablet;20240120;2;2;2;1;1;58;41;0;0
web / tablet;20240110;1;1;1;1;1;11;4;0;0
web / tablet;20240112;1;1;1;0.5;1;1090;80;0;0
web / tablet;20240113;1;0;0;0;0;1;4;0;0
web / tablet;20240115;1;1;1;1;1;549;11;0;0
web / tablet;20240116;1;1;2;1;2;6094;899;0;0
web / tablet;20240117;1;0;0;0;0;2034;164;0;0
