# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231204
# Data de termino: 20231210
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20231210;167;141;137;0.6715686274509803;0.8203592814371258;83.61676646706587;2947;0;0
web / mobile;20231209;101;89;82;0.7008547008547008;0.8118811881188119;80.85148514851485;1327;0;0
web / mobile;20231205;68;46;64;0.7441860465116279;0.9411764705882353;107.8529411764706;1538;0;0
web / mobile;20231204;61;43;50;0.6756756756756757;0.819672131147541;102.22950819672131;1097;0;0
web / mobile;20231208;56;41;45;0.6923076923076923;0.8035714285714286;134.66071428571428;1135;0;0
web / desktop;20231207;55;23;63;0.7777777777777778;1.1454545454545455;164.07272727272726;2395;0;0
web / mobile;20231206;55;40;50;0.6493506493506493;0.9090909090909091;82.87272727272727;813;0;0
web / mobile;20231207;51;40;40;0.5797101449275363;0.7843137254901961;126.74509803921569;1481;0;0
web / desktop;20231205;50;19;53;0.7794117647058824;1.06;136.42;1914;0;0
web / desktop;20231206;44;16;48;0.6956521739130435;1.0909090909090908;205.29545454545453;2065;0;0
web / desktop;20231210;42;17;49;0.7424242424242424;1.1666666666666667;184.21428571428572;1247;0;0
web / desktop;20231208;37;12;39;0.639344262295082;1.054054054054054;263.18918918918916;2193;0;0
web / desktop;20231204;27;12;28;0.7567567567567568;1.037037037037037;150.25925925925927;884;0;0
web / desktop;20231209;27;14;27;0.8181818181818182;1;229.66666666666666;1078;0;0
web / tablet;20231208;2;2;2;1;1;18;10;0;0
