# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240701
# Data de termino: 20240707
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Taxa de eventos principais do usuario;Receita total
Rio de Janeiro;20240704;52;26;50;0.6944444444444444;0.9615384615384616;104.51923076923077;891;0;0;0
Rio de Janeiro;20240701;34;14;38;0.8085106382978723;1.1176470588235294;175.85294117647058;1422;0;0;0
Rio de Janeiro;20240703;32;14;32;0.6956521739130435;1;86.09375;527;0;0;0
Rio de Janeiro;20240702;29;12;25;0.7142857142857143;0.8620689655172413;160.10344827586206;628;0;0;0
Rio de Janeiro;20240705;26;7;35;0.813953488372093;1.3461538461538463;142.19230769230768;756;0;0;0
Rio de Janeiro;20240706;26;12;20;0.6666666666666666;0.7692307692307693;60.30769230769231;360;0;0;0
Rio de Janeiro;20240707;23;11;25;0.7352941176470589;1.0869565217391304;203.1304347826087;812;0;0;0
(not set);20240704;10;10;7;0.6363636363636364;0.7;36.2;48;0;0;0
Sao Paulo;20240704;9;5;6;0.5;0.6666666666666666;22;50;0;0;0
Niteroi;20240706;7;3;7;1;1;62.42857142857143;104;0;0;0
Sao Paulo;20240707;7;6;6;0.5454545454545454;0.8571428571428571;41.714285714285715;52;0;0;0
Sao Paulo;20240701;6;3;5;0.8333333333333334;0.8333333333333334;23.666666666666668;36;0;0;0
(not set);20240701;5;4;1;0.2;0.2;19.6;16;0;0;0
(not set);20240705;5;3;5;0.5555555555555556;1;28.4;42;0;0;0
Brasilia;20240704;5;3;3;0.5;0.6;29.2;35;0;0;0
Niteroi;20240705;5;4;4;0.8;0.8;61.8;40;0;0;0
Sao Paulo;20240702;5;5;3;0.5;0.6;54.2;24;0;0;0
(not set);20240702;4;3;3;0.75;0.75;121.5;26;0;0;0
(not set);20240703;4;4;1;0.16666666666666666;0.25;2;19;0;0;0
(not set);20240706;4;1;6;1;1.5;137;70;0;0;0
(not set);20240707;4;1;3;0.42857142857142855;0.75;34.5;24;0;0;0
Brasilia;20240703;4;1;3;0.6;0.75;316;33;0;0;0
Campo Grande;20240706;4;3;3;0.6;0.75;126;102;0;0;0
Vitoria;20240706;4;1;4;1;1;264.25;158;0;0;0
Brasilia;20240701;3;2;2;0.5;0.6666666666666666;85.33333333333333;50;0;0;0
Brasilia;20240702;3;2;3;0.75;1;24;20;0;0;0
Duque de Caxias;20240704;3;1;3;0.75;1;495.3333333333333;235;0;0;0
Franca;20240703;3;3;0;0;0;0;9;0;0;0
Natal;20240704;3;3;2;0.6666666666666666;0.6666666666666666;165;42;0;0;0
Niteroi;20240701;3;3;1;0.3333333333333333;0.3333333333333333;11;17;0;0;0
Niteroi;20240703;3;1;3;0.6;1;58.333333333333336;37;0;0;0
Niteroi;20240707;3;3;3;0.75;1;84;22;0;0;0
Nova Iguacu;20240702;3;2;1;0.3333333333333333;0.3333333333333333;4.666666666666667;16;0;0;0
Salvador;20240704;3;2;3;1;1;699.3333333333334;418;0;0;0
Sao Paulo;20240703;3;2;2;0.6666666666666666;0.6666666666666666;16;15;0;0;0
Belem;20240707;2;2;1;0.3333333333333333;0.5;4.5;9;0;0;0
Belford Roxo;20240706;2;1;2;1;1;50.5;8;0;0;0
Belo Horizonte;20240701;2;1;1;0.3333333333333333;0.5;79.5;14;0;0;0
Brasilia;20240705;2;1;1;0.5;0.5;28;12;0;0;0
Campina Grande;20240704;2;2;1;0.3333333333333333;0.5;0;11;0;0;0
Duque de Caxias;20240707;2;1;3;0.75;1.5;18.5;28;0;0;0
Franca;20240702;2;2;2;0.5;1;16;15;0;0;0
Goiania;20240701;2;1;2;1;1;25.5;25;0;0;0
Goiania;20240703;2;1;2;0.6666666666666666;1;251.5;147;0;0;0
Goiania;20240705;2;2;2;1;1;49;47;0;0;0
Manaus;20240701;2;1;3;0.75;1.5;475;75;0;0;0
Natal;20240707;2;1;3;0.75;1.5;257.5;56;0;0;0
Niteroi;20240702;2;2;2;1;1;102.5;18;0;0;0
Parnamirim;20240704;2;2;1;0.5;0.5;19.5;8;0;0;0
Porto Alegre;20240703;2;2;2;1;1;35;15;0;0;0
Recife;20240705;2;2;1;0.25;0.5;14.5;15;0;0;0
Salvador;20240701;2;0;2;1;1;242;52;0;0;0
Salvador;20240702;2;1;2;1;1;337.5;57;0;0;0
Salvador;20240703;2;1;2;0.6666666666666666;1;44.5;28;0;0;0
Salvador;20240705;2;0;2;1;1;55;22;0;0;0
Salvador;20240707;2;2;2;1;1;22;9;0;0;0
Sao Paulo;20240705;2;1;1;0.5;0.5;5;9;0;0;0
Sao Paulo;20240706;2;1;4;0.8;2;55.5;18;0;0;0
Vitoria;20240702;2;0;2;1;1;501.5;26;0;0;0
Vitoria da Conquista;20240702;2;1;3;1;1.5;144.5;31;0;0;0
Volta Redonda;20240702;2;2;1;0.5;0.5;14;9;0;0;0
5551;20240702;1;1;1;1;1;25;8;0;0;0
62530;20240707;1;1;1;1;1;69;5;0;0;0
Alem Paraiba;20240707;1;0;1;1;1;36;4;0;0;0
Amadora;20240701;1;0;1;1;1;39;11;0;0;0
Amadora;20240702;1;1;0;0;0;0;4;0;0;0
Amadora;20240705;1;0;1;1;1;28;12;0;0;0
Amherst;20240701;1;1;0;0;0;0;3;0;0;0
Ananindeua;20240703;1;1;1;1;1;57;5;0;0;0
Ananindeua;20240706;1;1;1;1;1;0;4;0;0;0
Anapolis;20240705;1;1;1;1;1;86;12;0;0;0
Angra dos Reis;20240706;1;0;1;1;1;105;17;0;0;0
Aracaju;20240704;1;0;1;1;1;39;4;0;0;0
Aracati;20240707;1;1;0;0;0;0;3;0;0;0
Araripina;20240701;1;1;1;1;1;130;5;0;0;0
Ashburn;20240701;1;1;0;0;0;0;3;0;0;0
Aspen;20240703;1;1;1;1;1;4;4;0;0;0
Barra Mansa;20240703;1;1;1;1;1;37;5;0;0;0
Barra do Pirai;20240707;1;1;1;1;1;285;16;0;0;0
Belem;20240706;1;0;2;1;2;252;32;0;0;0
Belo Horizonte;20240702;1;0;0;0;0;0;3;0;0;0
Belo Horizonte;20240703;1;0;0;0;0;0;5;0;0;0
Belo Horizonte;20240705;1;0;1;1;1;3;4;0;0;0
Belo Horizonte;20240706;1;0;0;0;0;0;3;0;0;0
Belo Horizonte;20240707;1;1;1;1;1;64;5;0;0;0
Boa Vista;20240706;1;1;1;1;1;76;12;0;0;0
Braco do Norte;20240706;1;0;1;1;1;2;2;0;0;0
Brasilia;20240706;1;0;1;0.3333333333333333;1;5;12;0;0;0
Brasilia;20240707;1;0;1;0.5;1;4;6;0;0;0
Brusque;20240703;1;1;1;1;1;47;5;0;0;0
Buenos Aires;20240701;1;1;0;0;0;0;3;0;0;0
Cabo Frio;20240705;1;1;1;1;1;77;11;0;0;0
Cabo Frio;20240706;1;1;1;1;1;21;8;0;0;0
Cachoeiras de Macacu;20240706;1;1;0;0;0;0;3;0;0;0
Cachoeiro de Itapemirim;20240701;1;1;1;1;1;13;4;0;0;0
Cachoeiro de Itapemirim;20240703;1;1;1;1;1;33;4;0;0;0
Cadiz;20240704;1;1;0;0;0;7;4;0;0;0
Caldas Novas;20240704;1;1;0;0;0;0;3;0;0;0
Caldas Novas;20240705;1;0;0;0;0;0;3;0;0;0
Camacari;20240706;1;0;1;1;1;366;34;0;0;0
Campinas;20240706;1;0;1;1;1;320;2;0;0;0
Campos dos Goytacazes;20240707;1;1;0;0;0;0;3;0;0;0
Carapicuiba;20240704;1;1;0;0;0;0;3;0;0;0
Catanduva;20240702;1;1;0;0;0;7;4;0;0;0
Caxias do Sul;20240704;1;1;0;0;0;0;4;0;0;0
Central Point;20240705;1;1;1;1;1;70;10;0;0;0
Conway;20240706;1;1;0;0;0;0;3;0;0;0
Criciuma;20240705;1;1;1;1;1;38;5;0;0;0
Curitiba;20240705;1;1;0;0;0;0;3;0;0;0
Currais Novos;20240704;1;1;1;1;1;20;5;0;0;0
Diadema;20240701;1;0;1;1;1;250;36;0;0;0
Duque de Caxias;20240703;1;1;1;1;1;13;5;0;0;0
Duque de Caxias;20240706;1;1;1;1;1;57;8;0;0;0
Eusebio;20240704;1;1;1;1;1;345;10;0;0;0
Feira de Santana;20240703;1;1;0;0;0;9;4;0;0;0
Feira de Santana;20240704;1;1;0;0;0;0;3;0;0;0
Forest City;20240703;1;1;0;0;0;0;3;0;0;0
Fortaleza;20240702;1;0;1;1;1;400;43;0;0;0
Fortaleza;20240703;1;0;1;0.5;1;192;39;0;0;0
Fortaleza;20240704;1;0;0;0;0;0;4;0;0;0
Fortaleza;20240707;1;1;1;1;1;102;7;0;0;0
Franca;20240701;1;1;1;0.3333333333333333;1;23;11;0;0;0
Franca;20240704;1;1;1;0.3333333333333333;1;36;11;0;0;0
Franca;20240705;1;1;2;0.6666666666666666;2;55;11;0;0;0
Goiania;20240702;1;0;1;0.5;1;0;5;0;0;0
Goiania;20240707;1;0;1;0.3333333333333333;1;0;8;0;0;0
Guarapuava;20240704;1;1;1;1;1;27;4;0;0;0
Gunungsitoli Barat;20240706;1;0;1;1;1;6;4;0;0;0
