# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240729
# Data de termino: 20240804
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Taxa de eventos principais do usuario;Receita total
Rio de Janeiro;20240801;51;25;47;0.6266666666666667;0.9215686274509803;135.7450980392157;1587;0;0;0
Rio de Janeiro;20240804;35;19;35;0.7608695652173914;1;251.6;1879;0;0;0
Rio de Janeiro;20240729;33;11;38;0.7169811320754716;1.1515151515151516;234.84848484848484;1234;0;0;0
Rio de Janeiro;20240731;29;12;29;0.6744186046511628;1;156;973;0;0;0
Rio de Janeiro;20240802;27;9;30;0.8571428571428571;1.1111111111111112;113.81481481481481;856;0;0;0
Rio de Janeiro;20240730;26;7;32;0.7804878048780488;1.2307692307692308;235.96153846153845;1069;0;0;0
(not set);20240801;24;20;17;0.6538461538461539;0.7083333333333334;77.25;267;0;0;0
Rio de Janeiro;20240803;23;13;20;0.6666666666666666;0.8695652173913043;75;325;0;0;0
(not set);20240731;14;7;12;0.75;0.8571428571428571;58.92857142857143;123;0;0;0
Sao Paulo;20240801;12;10;11;0.7857142857142857;0.9166666666666666;18.166666666666668;72;0;0;0
(not set);20240729;9;7;7;0.7777777777777778;0.7777777777777778;137;179;0;0;0
(not set);20240804;8;6;10;0.7692307692307693;1.25;215.75;149;0;0;0
(not set);20240802;6;3;6;0.6666666666666666;1;138.33333333333334;70;0;0;0
Niteroi;20240803;6;1;8;0.8888888888888888;1.3333333333333333;141;190;0;0;0
Sao Paulo;20240731;6;6;3;0.42857142857142855;0.5;11.166666666666666;40;0;0;0
Sao Paulo;20240804;6;5;6;0.8571428571428571;1;159.33333333333334;47;0;0;0
Sao Paulo;20240802;5;2;5;1;1;89.4;138;0;0;0
(not set);20240803;4;4;3;0.6;0.75;30.75;29;0;0;0
Brasilia;20240729;4;1;3;0.375;0.75;201.5;72;0;0;0
Brasilia;20240730;4;2;6;1;1.5;476.25;375;0;0;0
Niteroi;20240801;4;2;4;1;1;114.75;86;0;0;0
Niteroi;20240804;4;1;4;1;1;108.5;62;0;0;0
Sao Paulo;20240729;4;0;4;1;1;43.75;41;0;0;0
(not set);20240730;3;1;1;0.3333333333333333;0.3333333333333333;17.333333333333332;22;0;0;0
Belem;20240730;3;2;3;0.75;1;111.33333333333333;29;0;0;0
Brasilia;20240801;3;0;3;0.6;1;226;265;0;0;0
Brasilia;20240802;3;2;3;1;1;267.3333333333333;65;0;0;0
Brasilia;20240804;3;2;4;0.6666666666666666;1.3333333333333333;262.6666666666667;126;0;0;0
Duque de Caxias;20240803;3;0;3;0.75;1;217.33333333333334;93;0;0;0
Nilopolis;20240731;3;3;2;0.5;0.6666666666666666;65;16;0;0;0
Niteroi;20240802;3;0;2;0.6666666666666666;0.6666666666666666;23.333333333333332;14;0;0;0
Salvador;20240804;3;2;3;1;1;27;14;0;0;0
Sao Goncalo;20240729;3;1;4;0.8;1.3333333333333333;198;102;0;0;0
Vila Velha;20240801;3;1;3;0.75;1;125.33333333333333;38;0;0;0
Barra Mansa;20240731;2;2;2;1;1;77.5;42;0;0;0
Belo Horizonte;20240802;2;2;1;0.5;0.5;22.5;8;0;0;0
Belo Horizonte;20240804;2;2;1;0.5;0.5;5.5;8;0;0;0
Campos dos Goytacazes;20240803;2;2;2;0.6666666666666666;1;132.5;46;0;0;0
Curitiba;20240801;2;1;1;0.5;0.5;34.5;10;0;0;0
Duque de Caxias;20240730;2;1;2;0.3333333333333333;1;380.5;132;0;0;0
Duque de Caxias;20240731;2;2;1;0.5;0.5;9;8;0;0;0
Goiania;20240804;2;0;2;1;1;75.5;35;0;0;0
