# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240624
# Data de termino: 20240630
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Taxa de eventos principais do usuario;Receita total
Rio de Janeiro;20240624;83;58;83;0.7094017094017094;1;142.36144578313252;2182;0;0;0
Rio de Janeiro;20240627;49;17;50;0.7142857142857143;1.0204081632653061;101.38775510204081;993;0;0;0
Rio de Janeiro;20240625;48;22;52;0.7647058823529411;1.0833333333333333;263.8958333333333;3308;0;0;0
Rio de Janeiro;20240626;36;19;37;0.7708333333333334;1.0277777777777777;141.33333333333334;1450;0;0;0
Rio de Janeiro;20240628;32;14;35;0.660377358490566;1.09375;95.8125;636;0;0;0
Rio de Janeiro;20240630;29;12;29;0.7073170731707317;1;110.55172413793103;491;0;0;0
(not set);20240624;18;17;6;0.2857142857142857;0.3333333333333333;21.22222222222222;123;0;0;0
Rio de Janeiro;20240629;17;5;22;0.6875;1.2941176470588236;70.3529411764706;372;0;0;0
Sao Paulo;20240624;10;8;8;0.6666666666666666;0.8;87.3;127;0;0;0
Sao Paulo;20240627;10;10;6;0.5454545454545454;0.6;35.1;59;0;0;0
Sao Paulo;20240629;8;7;5;0.5555555555555556;0.625;49.25;70;0;0;0
(not set);20240630;7;6;4;0.5714285714285714;0.5714285714285714;55.714285714285715;37;0;0;0
Sao Paulo;20240630;7;3;6;0.75;0.8571428571428571;146.71428571428572;67;0;0;0
Vitoria;20240624;7;4;6;0.8571428571428571;0.8571428571428571;51.714285714285715;49;0;0;0
(not set);20240627;6;6;3;0.5;0.5;17;22;0;0;0
(not set);20240628;5;4;4;0.8;0.8;330.4;142;0;0;0
Niteroi;20240625;5;1;5;1;1;41.6;54;0;0;0
Sao Paulo;20240625;5;4;2;0.4;0.4;162.4;133;0;0;0
(not set);20240625;4;4;1;0.2;0.25;9;25;0;0;0
(not set);20240626;4;3;1;0.2;0.25;21.75;21;0;0;0
(not set);20240629;4;4;3;0.75;0.75;13.5;21;0;0;0
Brasilia;20240624;4;3;3;0.75;0.75;32.5;64;0;0;0
Brasilia;20240630;4;3;5;1;1.25;110;61;0;0;0
Niteroi;20240624;4;4;4;1;1;36.5;35;0;0;0
Sao Goncalo;20240624;4;4;3;0.75;0.75;125.25;63;0;0;0
Brasilia;20240625;3;2;2;0.6666666666666666;0.6666666666666666;35;28;0;0;0
Brasilia;20240627;3;1;2;0.6666666666666666;0.6666666666666666;34.666666666666664;18;0;0;0
Brasilia;20240628;3;1;3;0.75;1;85.33333333333333;50;0;0;0
Franca;20240628;3;3;1;0.25;0.3333333333333333;39.666666666666664;28;0;0;0
Goiania;20240627;3;1;3;0.75;1;104.66666666666667;121;0;0;0
Maceio;20240625;3;1;5;0.7142857142857143;1.6666666666666667;190.33333333333334;105;0;0;0
Manaus;20240627;3;3;2;0.6666666666666666;0.6666666666666666;23.333333333333332;11;0;0;0
Niteroi;20240626;3;2;4;1;1.3333333333333333;83.66666666666667;37;0;0;0
Niteroi;20240627;3;0;4;1;1.3333333333333333;87.66666666666667;38;0;0;0
Niteroi;20240630;3;2;3;1;1;107.33333333333333;45;0;0;0
Recife;20240625;3;2;2;0.6666666666666666;0.6666666666666666;59.666666666666664;45;0;0;0
Sao Goncalo;20240627;3;2;3;1;1;69.66666666666667;26;0;0;0
Sao Paulo;20240626;3;2;3;1;1;72;16;0;0;0
Belo Horizonte;20240627;2;2;1;0.3333333333333333;0.5;91;10;0;0;0
Blumenau;20240627;2;1;2;1;1;39;10;0;0;0
Brasilia;20240626;2;0;2;0.6666666666666666;1;16;25;0;0;0
Campinas;20240627;2;2;2;1;1;33;9;0;0;0
Duque de Caxias;20240627;2;0;2;1;1;101.5;48;0;0;0
