# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240708
# Data de termino: 20240714
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Taxa de eventos principais do usuario;Receita total
Santa Clara;20240713;114;114;0;0;0;0;348;0;0;0
Clifton;20240713;95;95;0;0;0;0;285;0;0;0
Rio de Janeiro;20240711;38;14;44;0.8;1.1578947368421053;240.3684210526316;1128;0;0;0
Rio de Janeiro;20240709;37;15;40;0.7272727272727273;1.0810810810810811;116.51351351351352;844;0;0;0
Rio de Janeiro;20240708;27;13;36;0.7659574468085106;1.3333333333333333;185.66666666666666;1070;0;0;0
Rio de Janeiro;20240710;27;7;32;0.8205128205128205;1.1851851851851851;167.11111111111111;629;0;0;0
Rio de Janeiro;20240712;27;12;38;0.7916666666666666;1.4074074074074074;138.66666666666666;782;0;0;0
Rio de Janeiro;20240713;16;10;16;0.8;1;58.0625;163;0;0;0
Clifton;20240714;10;10;0;0;0;0;30;0;0;0
Santa Clara;20240714;10;10;0;0;0;0;30;0;0;0
Rio de Janeiro;20240714;9;6;6;0.5454545454545454;0.6666666666666666;55.44444444444444;90;0;0;0
(not set);20240709;8;6;7;0.7777777777777778;0.875;63.25;49;0;0;0
(not set);20240711;7;5;4;0.4444444444444444;0.5714285714285714;40.285714285714285;35;0;0;0
(not set);20240710;6;3;6;0.8571428571428571;1;69.5;83;0;0;0
Sao Paulo;20240711;6;5;5;0.5555555555555556;0.8333333333333334;52.833333333333336;62;0;0;0
Sao Paulo;20240710;5;4;4;0.5714285714285714;0.8;38.4;24;0;0;0
(not set);20240708;4;3;2;0.5;0.5;28.75;19;0;0;0
Belo Horizonte;20240714;4;4;1;0.2;0.25;4.75;19;0;0;0
Brasilia;20240712;4;2;5;0.8333333333333334;1.25;84.25;94;0;0;0
Brasilia;20240714;4;2;6;0.8571428571428571;1.5;87;50;0;0;0
Niteroi;20240710;4;1;4;1;1;313.5;118;0;0;0
(not set);20240712;3;3;3;0.75;1;36.666666666666664;29;0;0;0
(not set);20240714;3;3;1;0.25;0.3333333333333333;12;16;0;0;0
Belo Horizonte;20240708;3;3;1;0.16666666666666666;0.3333333333333333;46;17;0;0;0
Brasilia;20240709;3;1;3;0.75;1;56.333333333333336;60;0;0;0
Duque de Caxias;20240714;3;2;4;0.8;1.3333333333333333;608;239;0;0;0
Niteroi;20240711;3;1;4;1;1.3333333333333333;226.66666666666666;143;0;0;0
Niteroi;20240712;3;1;3;0.6;1;49.333333333333336;27;0;0;0
Sao Paulo;20240708;3;2;3;0.6;1;72.33333333333333;48;0;0;0
Vila Velha;20240709;3;2;2;0.5;0.6666666666666666;15.666666666666666;19;0;0;0
(not set);20240713;2;0;2;0.6666666666666666;1;30.5;28;0;0;0
Altoona;20240710;2;2;1;0.5;0.5;5.5;9;0;0;0
Belo Horizonte;20240712;2;2;2;1;1;17;10;0;0;0
Boardman;20240714;2;2;0;0;0;2;8;0;0;0
Brasilia;20240708;2;1;2;0.5;1;14;16;0;0;0
Brasilia;20240711;2;1;2;1;1;31.5;21;0;0;0
Brasilia;20240713;2;1;2;0.6666666666666666;1;411;31;0;0;0
Carapicuiba;20240713;2;1;3;1;1.5;1009;250;0;0;0
Curitiba;20240711;2;1;4;1;2;860.5;234;0;0;0
Fortaleza;20240714;2;1;2;1;1;240;37;0;0;0
Itaborai;20240708;2;1;1;0.5;0.5;12.5;15;0;0;0
Joanopolis;20240709;2;0;2;1;1;10;5;0;0;0
Juiz de Fora;20240708;2;0;3;0.75;1.5;62;53;0;0;0
Leopoldina;20240709;2;1;6;1;3;288;91;0;0;0
Linhares;20240708;2;2;1;0.5;0.5;23;9;0;0;0
Natal;20240708;2;2;2;1;1;33.5;12;0;0;0
Natal;20240711;2;1;1;0.5;0.5;22.5;17;0;0;0
Niteroi;20240713;2;1;1;0.25;0.5;36.5;22;0;0;0
Niteroi;20240714;2;1;2;1;1;265.5;195;0;0;0
Petropolis;20240713;2;2;2;1;1;314;93;0;0;0
Salvador;20240708;2;2;2;1;1;135;74;0;0;0
Salvador;20240711;2;2;2;1;1;28;13;0;0;0
Sao Paulo;20240709;2;2;2;0.6666666666666666;1;51.5;14;0;0;0
Sao Paulo;20240714;2;2;1;0.25;0.5;3.5;13;0;0;0
Varginha;20240712;2;1;2;1;1;159;57;0;0;0
Vicosa;20240714;2;0;3;1;1.5;233.5;74;0;0;0
Vila Velha;20240711;2;1;2;0.6666666666666666;1;138.5;35;0;0;0
Alem Paraiba;20240710;1;0;1;1;1;505;108;0;0;0
Alem Paraiba;20240711;1;0;1;1;1;39;11;0;0;0
Alem Paraiba;20240712;1;0;1;1;1;37;11;0;0;0
Amadora;20240712;1;0;5;0.8333333333333334;5;2187;864;0;0;0
Anapolis;20240712;1;1;1;1;1;62;9;0;0;0
Angra dos Reis;20240708;1;0;1;1;1;46;7;0;0;0
Aracaju;20240708;1;1;0;0;0;4;5;0;0;0
Aracaju;20240710;1;1;1;1;1;35;5;0;0;0
Aracaju;20240712;1;1;1;1;1;64;10;0;0;0
Aspen;20240712;1;1;0;0;0;0;3;0;0;0
Aveiro;20240711;1;1;0;0;0;0;6;0;0;0
Barueri;20240708;1;0;1;1;1;358;54;0;0;0
Barueri;20240711;1;0;1;1;1;28;10;0;0;0
Belem;20240708;1;0;1;1;1;132;26;0;0;0
Belem;20240710;1;0;1;1;1;380;54;0;0;0
Belem;20240712;1;1;1;1;1;21;5;0;0;0
Belem;20240714;1;1;1;1;1;28;4;0;0;0
Belford Roxo;20240711;1;0;1;1;1;207;44;0;0;0
Belford Roxo;20240713;1;1;1;1;1;63;5;0;0;0
Belo Horizonte;20240709;1;1;1;1;1;328;102;0;0;0
Belo Horizonte;20240711;1;1;0;0;0;0;3;0;0;0
Blois;20240713;1;1;1;1;1;33;4;0;0;0
Blumenau;20240711;1;1;1;1;1;349;92;0;0;0
Braco do Norte;20240711;1;1;1;1;1;26;10;0;0;0
Braganca Paulista;20240709;1;0;0;0;0;0;2;0;0;0
Brasilia;20240710;1;0;2;1;2;68;16;0;0;0
Cabo Frio;20240708;1;0;1;1;1;85;19;0;0;0
Cabo de Santo Agostinho;20240708;1;1;0;0;0;0;3;0;0;0
Campinas;20240708;1;1;1;1;1;10;4;0;0;0
Campinas;20240713;1;1;0;0;0;2;4;0;0;0
Campo Grande;20240709;1;1;0;0;0;0;3;0;0;0
Campo Grande;20240710;1;1;1;1;1;20;4;0;0;0
Carapicuiba;20240711;1;0;1;1;1;141;36;0;0;0
Cascavel;20240712;1;1;1;1;1;4;4;0;0;0
Colatina;20240709;1;1;1;1;1;79;8;0;0;0
Colatina;20240712;1;1;1;1;1;4;6;0;0;0
Criciuma;20240711;1;0;1;1;1;33;22;0;0;0
Cuiaba;20240709;1;1;1;1;1;15;4;0;0;0
Curitiba;20240708;1;1;0;0;0;4;4;0;0;0
Curitiba;20240709;1;0;1;0.3333333333333333;1;36;8;0;0;0
Curitiba;20240712;1;0;0;0;0;374;29;0;0;0
Dax;20240713;1;0;0;0;0;0;2;0;0;0
Duque de Caxias;20240709;1;0;1;1;1;196;37;0;0;0
Duque de Caxias;20240712;1;1;1;1;1;27;9;0;0;0
Faro;20240708;1;0;1;1;1;160;53;0;0;0
Feira de Santana;20240708;1;1;1;0.5;1;838;73;0;0;0
Feira de Santana;20240709;1;1;1;1;1;18;5;0;0;0
Flores da Cunha;20240708;1;1;1;1;1;75;5;0;0;0
Florianopolis;20240708;1;1;1;1;1;74;18;0;0;0
Fortaleza;20240708;1;0;1;1;1;469;39;0;0;0
Fortaleza;20240713;1;1;1;1;1;25;4;0;0;0
Friday Harbor;20240710;1;0;1;1;1;410;59;0;0;0
Garibaldi;20240714;1;1;0;0;0;0;3;0;0;0
Goiania;20240709;1;1;1;1;1;630;135;0;0;0
Goiania;20240711;1;1;1;1;1;57;9;0;0;0
Goiania;20240713;1;1;1;1;1;17;11;0;0;0
Guaruja;20240714;1;1;1;1;1;33;4;0;0;0
Igarassu;20240713;1;1;0;0;0;0;3;0;0;0
Ilheus;20240711;1;0;1;1;1;93;11;0;0;0
Itaborai;20240709;1;1;1;1;1;42;9;0;0;0
Itaborai;20240712;1;0;1;0.3333333333333333;1;9;13;0;0;0
Itaperuna;20240709;1;0;1;1;1;123;10;0;0;0
Itaquaquecetuba;20240711;1;1;1;1;1;13;4;0;0;0
Jau;20240714;1;1;0;0;0;9;5;0;0;0
Joao Pessoa;20240713;1;1;0;0;0;0;3;0;0;0
Juiz de Fora;20240714;1;1;1;1;1;196;20;0;0;0
Jundiai;20240710;1;1;1;1;1;21;5;0;0;0
Kurgan;20240709;1;1;1;1;1;241;69;0;0;0
La Plata;20240709;1;1;0;0;0;2;5;0;0;0
Leopoldina;20240708;1;0;3;0.5;3;145;49;0;0;0
Leopoldina;20240711;1;0;6;0.8571428571428571;6;619;165;0;0;0
Leopoldina;20240712;1;0;3;0.5;3;1064;245;0;0;0
Leopoldina;20240713;1;0;3;0.42857142857142855;3;228;71;0;0;0
Leopoldina;20240714;1;0;2;1;2;17;12;0;0;0
Linhares;20240714;1;1;0;0;0;0;3;0;0;0
Lisbon;20240708;1;1;0;0;0;1;4;0;0;0
Londrina;20240710;1;1;1;1;1;9;10;0;0;0
Macae;20240709;1;0;1;1;1;107;23;0;0;0
Maceio;20240709;1;0;1;0.5;1;24;12;0;0;0
Maceio;20240712;1;0;3;1;3;282;154;0;0;0
Mage;20240712;1;1;0;0;0;0;3;0;0;0
Manaus;20240708;1;0;1;1;1;1;3;0;0;0
Manaus;20240710;1;1;0;0;0;0;3;0;0;0
Manaus;20240711;1;1;0;0;0;0;3;0;0;0
Manaus;20240714;1;0;1;1;1;54;7;0;0;0
