# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240122
# Data de termino: 20240128
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20240125;68;43;66;0.6947368421052632;0.9705882352941176;123.79411764705883;2802;0;0
web / mobile;20240124;52;41;39;0.5735294117647058;0.75;116.23076923076923;866;0;0
web / mobile;20240122;49;35;41;0.7321428571428571;0.8367346938775511;211.6530612244898;3131;0;0
web / mobile;20240127;48;37;37;0.6607142857142857;0.7708333333333334;68.02083333333333;493;0;0
web / mobile;20240126;47;27;41;0.6307692307692307;0.8723404255319149;132.70212765957447;1027;0;0
web / desktop;20240124;42;19;51;0.8095238095238095;1.2142857142857142;810.3095238095239;1580;0;0
web / mobile;20240123;42;34;34;0.6071428571428571;0.8095238095238095;202.78571428571428;1163;0;0
web / desktop;20240125;34;11;43;0.8431372549019608;1.2647058823529411;159.61764705882354;1324;0;0
web / desktop;20240126;34;8;49;0.8596491228070176;1.4411764705882353;410.8235294117647;1452;0;0
web / desktop;20240123;33;12;38;0.7450980392156863;1.1515151515151516;718.7878787878788;1451;0;0
web / desktop;20240122;27;6;43;0.8113207547169812;1.5925925925925926;834.3703703703703;1738;0;0
web / desktop;20240127;21;9;30;0.8108108108108109;1.4285714285714286;137.42857142857142;695;0;0
web / mobile;20240128;20;11;12;0.5217391304347826;0.6;59.05;257;0;0
web / desktop;20240128;17;6;22;0.7096774193548387;1.2941176470588236;209.94117647058823;789;0;0
web / tablet;20240123;1;1;1;1;1;3;8;0;0
web / tablet;20240125;1;1;0;0;0;3;5;0;0
web / tablet;20240127;1;0;0;0;0;0;3;0;0
