# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240610
# Data de termino: 20240616
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
web / mobile;20240611;90;72;79;0.7523809523809524;0.8777777777777778;69.15555555555555;955;0;0
web / mobile;20240615;79;65;65;0.6914893617021277;0.8227848101265823;79.10126582278481;1069;0;0
web / desktop;20240611;64;28;69;0.7040816326530612;1.078125;205.484375;1787;0;0
web / mobile;20240613;45;33;53;0.726027397260274;1.1777777777777778;122.75555555555556;773;0;0
web / desktop;20240612;42;17;43;0.7049180327868853;1.0238095238095237;219;1219;0;0
web / mobile;20240610;42;32;35;0.7446808510638298;0.8333333333333334;90.33333333333333;596;0;0
web / mobile;20240612;42;34;40;0.6666666666666666;0.9523809523809523;94.04761904761905;652;0;0
web / desktop;20240614;41;11;56;0.8;1.3658536585365855;291.2926829268293;2259;0;0
web / desktop;20240610;40;11;45;0.7377049180327869;1.125;162.6;978;0;0
web / mobile;20240614;40;26;34;0.5573770491803278;0.85;61.85;502;0;0
web / mobile;20240616;38;26;6;0.13043478260869565;0.15789473684210525;54.8421052631579;396;0;0
web / desktop;20240613;36;13;44;0.7457627118644068;1.2222222222222223;180.44444444444446;1789;0;0
web / desktop;20240615;34;12;44;0.7213114754098361;1.2941176470588236;178.73529411764707;769;0;0
web / desktop;20240616;27;8;9;0.23076923076923078;0.3333333333333333;125.33333333333333;474;0;0
web / tablet;20240610;1;1;1;1;1;45;4;0;0
web / tablet;20240616;1;1;0;0;0;1;4;0;0
