# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240603
# Data de termino: 20240609
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Taxa de eventos principais do usuario;Receita total
Rio de Janeiro;20240604;50;27;47;0.6911764705882353;0.94;221.32;1653;0;0;0
Rio de Janeiro;20240603;43;30;46;0.7666666666666667;1.069767441860465;150.04651162790697;1130;0;0;0
Rio de Janeiro;20240606;39;15;50;0.7352941176470589;1.2820512820512822;187.94871794871796;1513;0;0;0
Rio de Janeiro;20240607;38;18;39;0.7358490566037735;1.0263157894736843;113.39473684210526;721;0;0;0
Rio de Janeiro;20240608;34;17;37;0.74;1.088235294117647;184.73529411764707;720;0;0;0
Rio de Janeiro;20240605;33;11;40;0.7843137254901961;1.2121212121212122;240.93939393939394;1347;0;0;0
Rio de Janeiro;20240609;27;11;27;0.7297297297297297;1;374.962962962963;1048;0;0;0
(not set);20240605;9;7;4;0.4444444444444444;0.4444444444444444;13.222222222222221;36;0;0;0
(not set);20240608;6;5;4;0.5714285714285714;0.6666666666666666;112.83333333333333;63;0;0;0
(not set);20240609;6;6;4;0.6666666666666666;0.6666666666666666;42.166666666666664;23;0;0;0
(not set);20240606;5;3;6;1;1.2;210.8;101;0;0;0
(not set);20240607;5;2;5;0.625;1;65.2;54;0;0;0
Niteroi;20240606;5;2;4;0.6666666666666666;0.8;96.2;62;0;0;0
Niteroi;20240607;5;2;7;1;1.4;102.2;108;0;0;0
Brasilia;20240609;4;1;5;0.7142857142857143;1.25;237.75;60;0;0;0
Niteroi;20240604;4;3;4;1;1;44;25;0;0;0
Niteroi;20240608;4;2;4;1;1;73.5;56;0;0;0
Niteroi;20240609;4;0;5;0.8333333333333334;1.25;402;239;0;0;0
Sao Paulo;20240604;4;3;3;0.75;0.75;241.75;83;0;0;0
Brasilia;20240607;3;1;7;0.7;2.3333333333333335;616.6666666666666;181;0;0;0
Niteroi;20240603;3;2;3;0.5;1;171;52;0;0;0
Sao Paulo;20240605;3;3;3;0.75;1;21.666666666666668;27;0;0;0
Sao Paulo;20240607;3;3;2;0.6666666666666666;0.6666666666666666;15;15;0;0;0
Sao Paulo;20240609;3;3;2;0.6666666666666666;0.6666666666666666;89.66666666666667;28;0;0;0
Vitoria;20240603;3;3;3;1;1;437.3333333333333;165;0;0;0
(not set);20240603;2;1;2;1;1;101;24;0;0;0
Aracaju;20240608;2;1;1;0.5;0.5;17.5;7;0;0;0
Araruama;20240603;2;1;2;1;1;68.5;23;0;0;0
Belem;20240604;2;1;1;0.5;0.5;52.5;26;0;0;0
Belem;20240605;2;2;1;0.5;0.5;21;8;0;0;0
Belem;20240608;2;2;1;0.5;0.5;108.5;32;0;0;0
Belo Horizonte;20240604;2;2;2;1;1;210;82;0;0;0
Belo Horizonte;20240607;2;2;1;0.5;0.5;28;8;0;0;0
Brasilia;20240603;2;1;4;1;2;168.5;71;0;0;0
Brasilia;20240604;2;0;3;0.75;1.5;118.5;57;0;0;0
Brasilia;20240605;2;1;2;1;1;179;77;0;0;0
Brasilia;20240606;2;0;3;0.75;1.5;159.5;45;0;0;0
Brasilia;20240608;2;0;5;0.8333333333333334;2.5;386;70;0;0;0
Camacari;20240605;2;1;2;1;1;51;22;0;0;0
Campinas;20240604;2;2;2;1;1;82.5;13;0;0;0
Campos dos Goytacazes;20240603;2;0;2;0.6666666666666666;1;26.5;11;0;0;0
Campos dos Goytacazes;20240606;2;1;1;0.5;0.5;9;8;0;0;0
Fortaleza;20240604;2;1;2;1;1;144.5;73;0;0;0
Fortaleza;20240608;2;1;2;1;1;65;27;0;0;0
Goiania;20240603;2;0;3;0.75;1.5;90.5;42;0;0;0
Goiania;20240604;2;2;2;1;1;127.5;28;0;0;0
Goiania;20240608;2;1;2;0.6666666666666666;1;21.5;18;0;0;0
Guarapari;20240603;2;1;3;1;1.5;497;84;0;0;0
Guarapari;20240605;2;1;2;0.5;1;327;48;0;0;0
Itaborai;20240604;2;1;2;0.5;1;81;40;0;0;0
Joao Pessoa;20240604;2;2;2;1;1;506;254;0;0;0
Joao Pessoa;20240606;2;2;2;1;1;138;52;0;0;0
Maceio;20240605;2;1;2;1;1;32.5;22;0;0;0
Maceio;20240606;2;1;2;0.4;1;163;111;0;0;0
Melbourne;20240605;2;2;2;1;1;41.5;13;0;0;0
Moscow;20240605;2;1;2;0.6666666666666666;1;57.5;47;0;0;0
Niteroi;20240605;2;0;3;0.75;1.5;74.5;46;0;0;0
