# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240408
# Data de termino: 20240414
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Rio de Janeiro;20240409;54;29;57;0.75;1.0555555555555556;121.64814814814815;1462;0;0
Rio de Janeiro;20240410;52;24;57;0.8260869565217391;1.0961538461538463;171.53846153846155;1424;0;0
Rio de Janeiro;20240413;43;26;41;0.7192982456140351;0.9534883720930233;192.67441860465115;1389;0;0
Rio de Janeiro;20240411;39;12;37;0.7708333333333334;0.9487179487179487;167.87179487179486;980;0;0
Rio de Janeiro;20240408;29;7;38;0.8085106382978723;1.3103448275862069;148.93103448275863;831;0;0
Rio de Janeiro;20240412;29;9;33;0.7857142857142857;1.1379310344827587;438.2068965517241;2481;0;0
Rio de Janeiro;20240414;23;13;23;0.7666666666666667;1;166.7826086956522;715;0;0
(not set);20240409;16;13;9;0.5625;0.5625;55.0625;210;0;0
(not set);20240410;15;12;13;0.7222222222222222;0.8666666666666667;143.06666666666666;594;0;0
Sao Paulo;20240412;12;12;10;0.8333333333333334;0.8333333333333334;50.25;78;0;0
Sao Paulo;20240413;12;11;10;0.7692307692307693;0.8333333333333334;38;73;0;0
Sao Paulo;20240409;8;7;7;0.875;0.875;12.25;39;0;0
Sao Paulo;20240410;7;6;4;0.5714285714285714;0.5714285714285714;80.71428571428571;107;0;0
(not set);20240408;6;5;6;0.75;1;151.83333333333334;139;0;0
(not set);20240413;6;5;7;1;1.1666666666666667;69.16666666666667;65;0;0
Sao Paulo;20240408;6;5;5;0.8333333333333334;0.8333333333333334;39.666666666666664;44;0;0
(not set);20240414;5;2;5;1;1;74.8;35;0;0
Belo Horizonte;20240409;5;5;4;0.8;0.8;147.2;154;0;0
Brasilia;20240409;5;1;7;1;1.4;425;170;0;0
Brasilia;20240412;5;3;5;1;1;33.6;36;0;0
Niteroi;20240408;5;1;4;0.5;0.8;75.2;63;0;0
Niteroi;20240411;5;3;5;1;1;207;76;0;0
(not set);20240411;4;2;3;0.75;0.75;105.25;121;0;0
Brasilia;20240410;4;0;4;0.5714285714285714;1;31.75;78;0;0
Brasilia;20240413;4;3;3;0.75;0.75;22;27;0;0
Niteroi;20240413;4;2;5;0.8333333333333334;1.25;86.75;58;0;0
Sao Paulo;20240411;4;4;5;1;1.25;145.5;213;0;0
Sao Paulo;20240414;4;3;2;0.5;0.5;79.5;41;0;0
Campo Grande;20240413;3;2;2;0.5;0.6666666666666666;114.66666666666667;36;0;0
Fortaleza;20240413;3;2;1;0.3333333333333333;0.3333333333333333;57;33;0;0
Niteroi;20240410;3;1;2;0.5;0.6666666666666666;131.33333333333334;75;0;0
Niteroi;20240412;3;1;3;0.75;1;33.333333333333336;32;0;0
Salvador;20240413;3;3;2;0.6666666666666666;0.6666666666666666;15.666666666666666;16;0;0
(not set);20240412;2;1;2;1;1;76.5;29;0;0
Belem;20240409;2;1;1;0.5;0.5;119.5;21;0;0
Belo Horizonte;20240412;2;1;1;0.5;0.5;11;6;0;0
Belo Horizonte;20240413;2;2;2;1;1;36.5;9;0;0
Camacari;20240412;2;2;0;0;0;4;8;0;0
Campina Grande;20240409;2;2;2;1;1;39.5;13;0;0
Cotia;20240408;2;1;3;0.6;1.5;149;48;0;0
Curitiba;20240408;2;2;2;1;1;65;22;0;0
Curitiba;20240409;2;1;2;1;1;23.5;12;0;0
Curitiba;20240412;2;2;2;1;1;44.5;19;0;0
Curitiba;20240413;2;2;2;0.6666666666666666;1;54;25;0;0
Duque de Caxias;20240409;2;1;2;0.6666666666666666;1;87;63;0;0
Duque de Caxias;20240410;2;1;2;0.6666666666666666;1;33;30;0;0
Fortaleza;20240409;2;2;2;1;1;33.5;10;0;0
Fortaleza;20240412;2;2;2;1;1;31.5;10;0;0
Foz do Iguacu;20240414;2;2;1;0.5;0.5;15.5;8;0;0
Goiania;20240413;2;2;2;1;1;82.5;17;0;0
