# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240408
# Data de termino: 20240414
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20240409;85;66;70;0.6862745098039216;0.8235294117647058;80.36470588235294;1034;0;0
web / mobile;20240413;81;66;72;0.7128712871287128;0.8888888888888888;120.12345679012346;1184;0;0
web / mobile;20240410;74;51;67;0.6767676767676768;0.9054054054054054;113.47297297297297;1313;0;0
web / desktop;20240409;61;34;67;0.8170731707317073;1.098360655737705;137.19672131147541;1609;0;0
web / desktop;20240410;54;20;67;0.9054054054054054;1.2407407407407407;580.1296296296297;2589;0;0
web / mobile;20240414;53;42;49;0.7313432835820896;0.9245283018867925;203.58490566037736;1104;0;0
web / desktop;20240413;49;20;57;0.8769230769230769;1.163265306122449;252.6326530612245;1660;0;0
web / mobile;20240412;47;38;38;0.7037037037037037;0.8085106382978723;64.1063829787234;669;0;0
web / desktop;20240408;45;20;58;0.8055555555555556;1.288888888888889;195.8;1398;0;0
web / desktop;20240412;43;20;49;0.8448275862068966;1.1395348837209303;334.6046511627907;2724;0;0
web / mobile;20240411;42;28;36;0.6923076923076923;0.8571428571428571;94.5;842;0;0
web / desktop;20240411;40;12;45;0.8181818181818182;1.125;239.125;1375;0;0
web / mobile;20240408;31;18;41;0.82;1.3225806451612903;173.41935483870967;787;0;0
web / desktop;20240414;26;9;33;0.7857142857142857;1.2692307692307692;349.84615384615387;1093;0;0
