# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240729
# Data de termino: 20240804
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
web / mobile;20240801;102;76;78;0.6666666666666666;0.7647058823529411;77.43137254901961;1561;0;0
web / mobile;20240804;61;44;65;0.7471264367816092;1.0655737704918034;209.31147540983608;1675;0;0
web / mobile;20240731;52;35;40;0.6779661016949152;0.7692307692307693;100.71153846153847;1033;0;0
web / mobile;20240729;47;29;42;0.6176470588235294;0.8936170212765957;156.08510638297872;1334;0;0
web / desktop;20240801;46;17;49;0.7101449275362319;1.065217391304348;215.7608695652174;2333;0;0
web / mobile;20240730;41;27;43;0.6615384615384615;1.048780487804878;137.8048780487805;1028;0;0
web / desktop;20240802;38;15;42;0.8936170212765957;1.105263157894737;134.73684210526315;1490;0;0
web / mobile;20240802;38;25;43;0.6935483870967742;1.131578947368421;159.47368421052633;864;0;0
web / mobile;20240803;37;26;32;0.6153846153846154;0.8648648648648649;122.21621621621621;840;0;0
web / desktop;20240804;36;12;42;0.7636363636363637;1.1666666666666667;298.8611111111111;1965;0;0
web / desktop;20240729;35;8;39;0.78;1.1142857142857143;396.22857142857146;1423;0;0
web / desktop;20240731;35;14;41;0.803921568627451;1.1714285714285715;154.05714285714285;986;0;0
web / desktop;20240730;32;9;38;0.8636363636363636;1.1875;323.625;1843;0;0
web / desktop;20240803;29;11;29;0.7435897435897436;1;299.0344827586207;1245;0;0
web / tablet;20240801;1;0;1;1;1;640;61;0;0
web / tablet;20240802;1;0;1;1;1;693;50;0;0
web / tablet;20240803;1;0;0;0;0;7;4;0;0
