# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240506
# Data de termino: 20240512
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
web / mobile;20240509;79;63;65;0.6842105263157895;0.8227848101265823;109.73417721518987;1309;0;0
web / mobile;20240510;66;39;70;0.7608695652173914;1.0606060606060606;181.84848484848484;1983;0;0
web / mobile;20240512;61;51;52;0.7323943661971831;0.8524590163934426;94.70491803278688;1012;0;0
web / mobile;20240511;53;39;41;0.5774647887323944;0.7735849056603774;99;834;0;0
web / desktop;20240509;52;27;71;0.8765432098765432;1.3653846153846154;704.1153846153846;2773;0;0
web / mobile;20240506;47;33;45;0.75;0.9574468085106383;167.61702127659575;1122;0;0
web / mobile;20240508;45;31;38;0.6666666666666666;0.8444444444444444;57.15555555555556;495;0;0
web / desktop;20240510;42;9;61;0.9104477611940298;1.4523809523809523;458.8333333333333;1741;0;0
web / desktop;20240508;40;13;51;0.9272727272727272;1.275;535;1376;0;0
web / mobile;20240507;38;27;34;0.723404255319149;0.8947368421052632;90.97368421052632;582;0;0
web / desktop;20240507;36;13;41;0.82;1.1388888888888888;146.55555555555554;1205;0;0
web / desktop;20240512;32;12;42;0.8571428571428571;1.3125;600.625;1589;0;0
web / desktop;20240506;30;15;34;0.7083333333333334;1.1333333333333333;137.73333333333332;944;0;0
web / desktop;20240511;25;6;40;0.9090909090909091;1.6;1072.4;1901;0;0
web / tablet;20240506;1;1;1;1;1;101;12;0;0
web / tablet;20240510;1;1;1;1;1;23;4;0;0
