# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240527
# Data de termino: 20240602
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
web / mobile;20240529;80;66;62;0.6888888888888889;0.775;54.775;699;0;0
web / mobile;20240530;75;54;70;0.7368421052631579;0.9333333333333333;120.37333333333333;1333;0;0
web / mobile;20240601;74;52;67;0.7528089887640449;0.9054054054054054;61.04054054054054;807;0;0
web / mobile;20240602;68;55;60;0.759493670886076;0.8823529411764706;97;926;0;0
web / mobile;20240531;58;29;52;0.5842696629213483;0.896551724137931;171.94827586206895;1431;0;0
web / mobile;20240527;56;37;50;0.6666666666666666;0.8928571428571429;127.625;1055;0;0
web / desktop;20240527;55;23;58;0.7631578947368421;1.0545454545454545;388.6727272727273;3467;0;0
web / mobile;20240528;53;35;49;0.5903614457831325;0.9245283018867925;83.13207547169812;634;0;0
web / desktop;20240531;49;17;65;0.8333333333333334;1.3265306122448979;556.9795918367347;3122;0;0
web / desktop;20240528;43;16;51;0.8360655737704918;1.186046511627907;339.4186046511628;2607;0;0
web / desktop;20240529;39;10;52;0.7027027027027027;1.3333333333333333;233.4102564102564;1207;0;0
web / desktop;20240601;33;11;42;0.6885245901639344;1.2727272727272727;483.8787878787879;1668;0;0
web / desktop;20240530;32;8;41;0.8367346938775511;1.28125;604.625;1575;0;0
web / desktop;20240602;32;7;39;0.7959183673469388;1.21875;285.46875;1035;0;0
web / tablet;20240529;2;2;2;1;1;54;15;0;0
web / tablet;20240527;1;1;1;1;1;27;5;0;0
web / tablet;20240530;1;0;1;1;1;14;3;0;0
web / tablet;20240601;1;1;1;1;1;23;11;0;0
