# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240617
# Data de termino: 20240623
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Taxa de eventos principais do usuario;Receita total
Rio de Janeiro;20240619;43;15;43;0.7049180327868853;1;188.8139534883721;2683;0;0;0
Rio de Janeiro;20240621;41;17;47;0.7833333333333333;1.146341463414634;175.4878048780488;1655;0;0;0
Rio de Janeiro;20240620;39;22;55;0.7971014492753623;1.4102564102564104;339.4102564102564;3603;0;0;0
Rio de Janeiro;20240618;34;14;42;0.8076923076923077;1.2352941176470589;202;2213;0;0;0
Rio de Janeiro;20240617;32;12;30;0.7317073170731707;0.9375;149.375;1297;0;0;0
Rio de Janeiro;20240623;30;18;5;0.10869565217391304;0.16666666666666666;122.1;678;0;0;0
Rio de Janeiro;20240622;27;11;26;0.7027027027027027;0.9629629629629629;119.92592592592592;722;0;0;0
Clifton;20240620;22;22;0;0;0;0;66;0;0;0
Santa Clara;20240620;8;8;0;0;0;0;24;0;0;0
(not set);20240621;6;5;3;0.42857142857142855;0.5;50.166666666666664;76;0;0;0
Sao Paulo;20240617;6;4;5;0.8333333333333334;0.8333333333333334;27.166666666666668;48;0;0;0
Sao Paulo;20240619;5;4;1;0.2;0.2;3.4;16;0;0;0
Brasilia;20240617;4;2;5;0.8333333333333334;1.25;181.75;121;0;0;0
Niteroi;20240619;4;0;6;1;1.5;440.25;225;0;0;0
Niteroi;20240620;4;2;4;1;1;69.75;55;0;0;0
Niteroi;20240622;4;2;3;0.75;0.75;224.25;110;0;0;0
Niteroi;20240623;4;1;0;0;0;46;34;0;0;0
;20240623;3;6;0;0;0;24;31;0;0;0
(not set);20240622;3;3;2;0.6666666666666666;0.6666666666666666;318;127;0;0;0
Anapolis;20240619;3;3;3;1;1;541;97;0;0;0
Belo Horizonte;20240619;3;1;2;0.6666666666666666;0.6666666666666666;24;22;0;0;0
Brasilia;20240621;3;2;2;0.6666666666666666;0.6666666666666666;83.66666666666667;23;0;0;0
Brasilia;20240623;3;1;0;0;0;177.66666666666666;33;0;0;0
Niteroi;20240618;3;1;4;0.5;1.3333333333333333;130.66666666666666;64;0;0;0
Porto Alegre;20240617;3;3;2;0.6666666666666666;0.6666666666666666;119;23;0;0;0
Porto Alegre;20240618;3;2;4;1;1.3333333333333333;87.66666666666667;21;0;0;0
Sao Goncalo;20240619;3;2;1;0.3333333333333333;0.3333333333333333;21;15;0;0;0
Sao Paulo;20240618;3;2;3;1;1;101.33333333333333;117;0;0;0
Sao Paulo;20240622;3;2;0;0;0;4;10;0;0;0
(not set);20240617;2;1;2;1;1;81;38;0;0;0
(not set);20240618;2;1;1;0.5;0.5;57;12;0;0;0
(not set);20240619;2;2;2;1;1;78;28;0;0;0
Belo Horizonte;20240621;2;2;2;1;1;34.5;8;0;0;0
Belo Horizonte;20240623;2;3;1;0.3333333333333333;0.5;51;12;0;0;0
