# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240715
# Data de termino: 20240721
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Estatisticas Fluminense - Principal;2024072122;21;21;8;17;0;0;0
Estatisticas Fluminense - Principal;2024071816;16;16;13;100.3125;0;0;0
Estatisticas Fluminense - Principal;2024072119;12;11;6;9.916666666666666;0;0;0
Estatisticas Fluminense - Principal;2024071814;10;10;2;19.2;0;0;0
Estatisticas Fluminense - Principal;2024072120;9;7;4;5.333333333333333;0;0;0
Adversarios;2024071814;8;8;0;29.75;0;0;0
Estatisticas Fluminense - Principal;2024071810;8;8;5;21.25;0;0;0
Estatisticas Fluminense - Principal;2024071815;8;8;0;24.5;0;0;0
Adversarios;2024071816;7;7;0;30.142857142857142;0;0;0
Estatisticas Fluminense - Principal;2024071515;7;7;2;6.428571428571429;0;0;0
Estatisticas Fluminense - Principal;2024071817;7;7;2;59.42857142857143;0;0;0
Fluminense x Juventude-RS;2024071814;7;7;0;104.42857142857143;0;0;0
Estatisticas Fluminense - Principal;2024071618;6;5;2;53.333333333333336;0;0;0
Estatisticas Fluminense - Principal;2024071619;6;5;3;224.66666666666666;0;0;0
Estatisticas Fluminense - Principal;2024071716;6;6;2;44.833333333333336;0;0;0
Estatisticas Fluminense - Principal;2024071811;6;6;3;39.833333333333336;0;0;0
Estatisticas Fluminense - Principal;2024071812;6;6;1;4.166666666666667;0;0;0
Estatisticas Fluminense - Principal;2024071920;6;6;3;64.66666666666667;0;0;0
Estatisticas Fluminense - Principal;2024072112;6;6;2;11.666666666666666;0;0;0
Estatisticas Fluminense - Principal;2024072123;6;6;0;60;0;0;0
Informacoes Gerais;2024072122;6;5;0;25.666666666666668;0;0;0
Jogador;2024072119;6;6;0;11.5;0;0;0
Jogador;2024072122;6;6;0;14.666666666666666;0;0;0
Jogo;2024071816;6;6;0;46.5;0;0;0
Estatisticas Fluminense - Principal;2024071521;5;4;2;14.2;0;0;0
Estatisticas Fluminense - Principal;2024071712;5;5;3;41;0;0;0
Estatisticas Fluminense - Principal;2024071713;5;5;1;26;0;0;0
Estatisticas Fluminense - Principal;2024071813;5;5;1;8.6;0;0;0
Estatisticas Fluminense - Principal;2024071910;5;5;3;9.8;0;0;0
Estatisticas Fluminense - Principal;2024071912;5;5;2;6.6;0;0;0
Estatisticas Fluminense - Principal;2024072011;5;5;2;18.4;0;0;0
Estatisticas Fluminense - Principal;2024072012;5;5;0;13.6;0;0;0
Estatisticas Fluminense - Principal;2024072118;5;5;3;13.2;0;0;0
Camisa;2024071816;4;4;0;25.5;0;0;0
Especiais Jogadores;2024072123;4;4;0;37.25;0;0;0
Especiais Jogos;2024072122;4;4;0;31;0;0;0
Estatisticas Fluminense - Principal;2024071509;4;3;0;6.5;0;0;0
Estatisticas Fluminense - Principal;2024071513;4;4;1;13.5;0;0;0
Estatisticas Fluminense - Principal;2024071517;4;4;0;68;0;0;0
Estatisticas Fluminense - Principal;2024071709;4;4;0;7.25;0;0;0
Estatisticas Fluminense - Principal;2024071715;4;4;0;23.5;0;0;0
Estatisticas Fluminense - Principal;2024071819;4;3;1;5.5;0;0;0
Estatisticas Fluminense - Principal;2024071914;4;3;1;0.25;0;0;0
Estatisticas Fluminense - Principal;2024072017;4;4;1;4;0;0;0
Estatisticas Fluminense - Principal;2024072113;4;3;1;13.75;0;0;0
