# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240429
# Data de termino: 20240505
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
web / mobile;20240501;123;95;105;0.6818181818181818;0.8536585365853658;85.33333333333333;1609;0;0
web / mobile;20240504;114;83;100;0.6802721088435374;0.8771929824561403;124.3157894736842;1889;0;0
web / mobile;20240430;56;37;51;0.6375;0.9107142857142857;161;1233;0;0
web / mobile;20240502;56;36;58;0.7532467532467533;1.0357142857142858;66.67857142857143;807;0;0
web / desktop;20240502;51;13;65;0.8552631578947368;1.2745098039215685;400.5686274509804;1799;0;0
web / desktop;20240503;51;20;63;0.7875;1.2352941176470589;196.9607843137255;1487;0;0
web / mobile;20240429;50;36;45;0.6521739130434783;0.9;178.98;1446;0;0
web / mobile;20240505;50;35;46;0.6301369863013698;0.92;143.44;1028;0;0
web / desktop;20240429;49;24;51;0.75;1.0408163265306123;289.14285714285717;1678;0;0
web / desktop;20240430;49;22;56;0.8115942028985508;1.1428571428571428;212.44897959183675;1453;0;0
web / desktop;20240504;47;20;52;0.8125;1.1063829787234043;177.51063829787233;1459;0;0
web / mobile;20240503;43;28;41;0.6119402985074627;0.9534883720930233;87.72093023255815;743;0;0
web / desktop;20240501;40;22;47;0.8103448275862069;1.175;263.15;1153;0;0
web / desktop;20240505;25;8;22;0.6666666666666666;0.88;67.48;386;0;0
web / tablet;20240430;2;1;2;1;1;565.5;41;0;0
web / tablet;20240502;1;1;1;1;1;8;4;0;0
web / tablet;20240503;1;0;0;0;0;67;4;0;0
web / tablet;20240505;1;1;0;0;0;0;5;0;0
