# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231127
# Data de termino: 20231203
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20231203;82;56;74;0.7254901960784313;0.9024390243902439;74.02439024390245;1214;0;0
web / mobile;20231130;80;50;80;0.6956521739130435;1;145.9875;2041;0;0
web / mobile;20231129;77;57;71;0.71;0.922077922077922;80.83116883116882;1292;0;0
web / mobile;20231201;67;51;53;0.7066666666666667;0.7910447761194029;64.3731343283582;755;0;0
web / mobile;20231127;65;41;60;0.75;0.9230769230769231;117.73846153846154;1445;0;0
web / desktop;20231129;63;21;71;0.8068181818181818;1.126984126984127;180.04761904761904;2045;0;0
web / mobile;20231128;55;35;60;0.8333333333333334;1.0909090909090908;132.21818181818182;1059;0;0
web / mobile;20231202;52;32;46;0.6216216216216216;0.8846153846153846;184.69230769230768;1263;0;0
web / desktop;20231127;47;16;57;0.8260869565217391;1.2127659574468086;238.4255319148936;2147;0;0
web / desktop;20231128;45;17;49;0.7903225806451613;1.0888888888888888;169.4;1482;0;0
web / desktop;20231130;43;18;45;0.8035714285714286;1.0465116279069768;169.27906976744185;1544;0;0
web / desktop;20231201;40;13;41;0.8723404255319149;1.025;290.275;2274;0;0
web / desktop;20231202;28;12;29;0.7837837837837838;1.0357142857142858;273.85714285714283;1568;0;0
web / desktop;20231203;27;7;33;0.7674418604651163;1.2222222222222223;189.55555555555554;2274;0;0
web / tablet;20231129;2;1;2;1;1;293;82;0;0
web / tablet;20231127;1;1;1;1;1;46;5;0;0
web / tablet;20231128;1;1;0;0;0;6;5;0;0
web / tablet;20231201;1;1;1;1;1;139;30;0;0
web / tablet;20231203;1;1;1;1;1;4;6;0;0
