# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240122
# Data de termino: 20240128
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Rio de Janeiro;20240124;38;19;36;0.6545454545454545;0.9473684210526315;107.23684210526316;678;0;0
Rio de Janeiro;20240125;38;17;41;0.803921568627451;1.0789473684210527;100.65789473684211;1012;0;0
Rio de Janeiro;20240122;31;10;35;0.7954545454545454;1.1290322580645162;177.2258064516129;1162;0;0
Rio de Janeiro;20240126;30;8;32;0.6666666666666666;1.0666666666666667;212.36666666666667;847;0;0
Rio de Janeiro;20240127;30;17;31;0.7045454545454546;1.0333333333333334;91.26666666666667;587;0;0
Rio de Janeiro;20240123;27;13;26;0.7027027027027027;0.9629629629629629;163.55555555555554;831;0;0
Rio de Janeiro;20240128;14;4;15;0.6521739130434783;1.0714285714285714;171.28571428571428;478;0;0
Brasilia;20240124;7;3;7;0.7;1;254.42857142857142;217;0;0
(not set);20240124;6;5;2;0.2857142857142857;0.3333333333333333;17.833333333333332;25;0;0
(not set);20240125;6;4;4;0.6666666666666666;0.6666666666666666;115.16666666666667;35;0;0
Sao Paulo;20240127;6;5;6;0.8571428571428571;1;35.5;64;0;0
Brasilia;20240126;5;1;9;1;1.8;562.2;470;0;0
Paris;20240123;5;5;4;0.6666666666666666;0.8;53.4;45;0;0
Sao Paulo;20240122;5;5;4;0.8;0.8;61;99;0;0
(not set);20240126;4;4;3;0.75;0.75;35;26;0;0
(not set);20240127;4;3;2;0.5;0.5;79;25;0;0
(not set);20240128;4;3;4;1;1;19.75;15;0;0
Maceio;20240125;4;1;5;0.625;1.25;33.5;137;0;0
Niteroi;20240124;4;4;3;0.6;0.75;309;149;0;0
Niteroi;20240126;4;0;4;0.8;1;43.5;35;0;0
Niteroi;20240127;4;3;3;0.75;0.75;9.25;23;0;0
Sao Paulo;20240124;4;2;4;0.8;1;51.25;34;0;0
Sao Paulo;20240125;4;3;2;0.5;0.5;4.75;18;0;0
Sao Paulo;20240126;4;3;1;0.25;0.25;20.75;20;0;0
(not set);20240123;3;3;2;0.6666666666666666;0.6666666666666666;5;11;0;0
Brasilia;20240122;3;0;3;1;1;632;274;0;0
Brasilia;20240123;3;0;3;0.5;1;264;114;0;0
Brasilia;20240125;3;1;6;0.6666666666666666;2;478.6666666666667;107;0;0
Brasilia;20240127;3;2;2;0.6666666666666666;0.6666666666666666;126.33333333333333;18;0;0
Brasilia;20240128;3;2;2;0.4;0.6666666666666666;340.3333333333333;198;0;0
Duque de Caxias;20240124;3;2;2;0.6666666666666666;0.6666666666666666;22.666666666666668;19;0;0
Goiania;20240126;3;3;1;0.3333333333333333;0.3333333333333333;14.333333333333334;14;0;0
Salvador;20240124;3;2;4;1;1.3333333333333333;1412.3333333333333;377;0;0
Aracaju;20240123;2;2;0;0;0;0;7;0;0
Campina Grande;20240122;2;2;2;1;1;19;15;0;0
Curitiba;20240122;2;1;2;1;1;37;13;0;0
Duque de Caxias;20240125;2;0;2;1;1;121.5;64;0;0
Frauenfeld;20240122;2;2;1;0.5;0.5;40;17;0;0
Juiz de Fora;20240123;2;1;3;0.75;1.5;48.5;84;0;0
Juiz de Fora;20240124;2;1;2;1;1;26.5;29;0;0
Maceio;20240124;2;1;6;0.75;3;123.5;134;0;0
Maceio;20240126;2;1;7;0.7777777777777778;3.5;890.5;320;0;0
Manaus;20240122;2;1;2;1;1;103.5;24;0;0
Manaus;20240125;2;2;2;1;1;43;27;0;0
Mossoro;20240125;2;2;3;0.75;1.5;93.5;30;0;0
Natal;20240125;2;1;2;0.6666666666666666;1;22.5;14;0;0
Petropolis;20240122;2;1;1;0.5;0.5;137.5;94;0;0
Petropolis;20240126;2;1;3;1;1.5;317;135;0;0
Recife;20240123;2;2;1;0.5;0.5;135.5;8;0;0
Recife;20240125;2;1;2;1;1;85.5;33;0;0
Ribeirao Preto;20240122;2;2;1;0.5;0.5;68.5;21;0;0
Ribeirao Preto;20240126;2;2;2;1;1;34.5;14;0;0
Salvador;20240123;2;1;3;1;1.5;2706;669;0;0
Salvador;20240125;2;0;4;0.6666666666666666;2;1182.5;1757;0;0
Salvador;20240126;2;1;4;1;2;253;90;0;0
Sao Goncalo;20240125;2;1;2;1;1;49.5;26;0;0
Sao Goncalo;20240127;2;2;2;1;1;59.5;16;0;0
Sao Paulo;20240123;2;0;2;0.6666666666666666;1;156;105;0;0
Vitoria;20240123;2;2;2;1;1;54.5;20;0;0
5551;20240125;1;0;1;1;1;8;14;0;0
84166;20240124;1;1;1;1;1;15;7;0;0
91477;20240122;1;1;0;0;0;8;5;0;0
Aguas Lindas de Goias;20240124;1;1;1;1;1;25;5;0;0
Amadora;20240126;1;0;1;1;1;71;21;0;0
Amparo;20240124;1;1;0;0;0;0;3;0;0
Amsterdam;20240126;1;1;1;1;1;269;99;0;0
Aracaju;20240125;1;1;1;1;1;27;11;0;0
Araripina;20240123;1;1;1;1;1;32;5;0;0
Araruama;20240122;1;0;1;1;1;1472;103;0;0
Araruama;20240123;1;0;2;1;2;549;44;0;0
Araruama;20240124;1;0;2;1;2;466;15;0;0
Areal;20240127;1;1;1;0.5;1;489;58;0;0
Ashburn;20240127;1;1;0;0;0;0;3;0;0
Augsburg;20240126;1;1;1;0.5;1;7;9;0;0
Barra Mansa;20240123;1;1;1;1;1;60;7;0;0
Barra do Garcas;20240122;1;1;0;0;0;0;3;0;0
Barra do Garcas;20240125;1;1;0;0;0;0;3;0;0
Barra do Pirai;20240125;1;0;1;1;1;34;9;0;0
Barra do Pirai;20240127;1;1;1;1;1;60;23;0;0
Barra do Pirai;20240128;1;0;1;1;1;36;1;0;0
Bauru;20240128;1;1;1;1;1;13;5;0;0
Belem;20240122;1;1;1;1;1;17;5;0;0
Belem;20240125;1;1;0;0;0;0;3;0;0
Belem;20240127;1;0;0;0;0;0;3;0;0
Belo Horizonte;20240122;1;1;1;1;1;28;5;0;0
Belo Horizonte;20240124;1;1;1;1;1;17;5;0;0
Belo Horizonte;20240125;1;1;1;1;1;26;5;0;0
Bergen Municipality;20240123;1;1;1;1;1;78;5;0;0
Betim;20240128;1;1;1;1;1;44;11;0;0
Blumenau;20240123;1;0;1;1;1;0;3;0;0
Blumenau;20240126;1;1;1;1;1;76;4;0;0
Cabo Frio;20240122;1;1;1;1;1;56;5;0;0
Cabo Frio;20240126;1;0;1;1;1;131;11;0;0
Cabo Frio;20240128;1;1;0;0;0;0;3;0;0
Cachoeiras de Macacu;20240128;1;0;2;1;2;48;18;0;0
Cachoeiro de Itapemirim;20240124;1;1;1;1;1;36;5;0;0
