# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240520
# Data de termino: 20240526
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Taxa de eventos principais do usuario;Receita total
Rio de Janeiro;20240523;51;25;55;0.8088235294117647;1.0784313725490196;324.94117647058823;3621;0;0;0
Rio de Janeiro;20240522;45;20;60;0.8;1.3333333333333333;276.9111111111111;2891;0;0;0
Rio de Janeiro;20240521;43;21;47;0.7121212121212122;1.0930232558139534;189.74418604651163;1336;0;0;0
Rio de Janeiro;20240520;39;25;44;0.7719298245614035;1.1282051282051282;203.51282051282053;1506;0;0;0
Rio de Janeiro;20240526;34;19;2;0.04081632653061224;0.058823529411764705;218.91176470588235;1745;0;0;0
Rio de Janeiro;20240524;32;16;36;0.75;1.125;275.90625;2412;0;0;0
Rio de Janeiro;20240525;22;8;24;0.7741935483870968;1.0909090909090908;210.72727272727272;652;0;0;0
Sao Paulo;20240522;10;7;6;0.6;0.6;127.9;226;0;0;0
(not set);20240522;9;9;3;0.25;0.3333333333333333;32.22222222222222;55;0;0;0
Sao Paulo;20240523;9;5;9;0.75;1;156;188;0;0;0
Niteroi;20240522;8;3;9;0.9;1.125;65.125;104;0;0;0
(not set);20240523;7;5;4;0.5;0.5714285714285714;174.14285714285714;216;0;0;0
(not set);20240524;7;6;6;0.8571428571428571;0.8571428571428571;77.14285714285714;77;0;0;0
Niteroi;20240526;7;3;2;0.16666666666666666;0.2857142857142857;111.14285714285714;110;0;0;0
;20240526;6;9;0;0;0;7.666666666666667;47;0;0;0
(not set);20240521;6;5;4;0.6666666666666666;0.6666666666666666;50.5;53;0;0;0
(not set);20240525;6;6;3;0.42857142857142855;0.5;21.666666666666668;33;0;0;0
Niteroi;20240521;6;1;8;0.8888888888888888;1.3333333333333333;476.3333333333333;376;0;0;0
Brasilia;20240520;5;2;4;0.6666666666666666;0.8;84.8;73;0;0;0
Niteroi;20240523;5;2;5;0.8333333333333334;1;178.4;116;0;0;0
Sao Paulo;20240526;5;4;1;0.16666666666666666;0.2;98.4;41;0;0;0
(not set);20240520;4;4;2;0.5;0.5;20.25;20;0;0;0
Niteroi;20240525;4;1;5;0.7142857142857143;1.25;237.5;216;0;0;0
Sao Paulo;20240521;4;1;4;0.8;1;109.25;47;0;0;0
Sao Paulo;20240524;4;4;3;0.75;0.75;54.25;40;0;0;0
Sao Paulo;20240525;4;3;4;1;1;63.75;40;0;0;0
Brasilia;20240522;3;1;4;0.6666666666666666;1.3333333333333333;136.66666666666666;101;0;0;0
Brasilia;20240524;3;1;3;0.42857142857142855;1;32.666666666666664;36;0;0;0
Brasilia;20240525;3;2;3;0.75;1;52;37;0;0;0
Brasilia;20240526;3;1;1;0.2;0.3333333333333333;24.333333333333332;23;0;0;0
Curitiba;20240522;3;2;2;0.6666666666666666;0.6666666666666666;19.666666666666668;22;0;0;0
Juiz de Fora;20240520;3;3;2;0.6666666666666666;0.6666666666666666;37.333333333333336;42;0;0;0
Niteroi;20240524;3;1;3;1;1;197.66666666666666;97;0;0;0
Petropolis;20240524;3;2;4;1;1.3333333333333333;422.3333333333333;200;0;0;0
Salvador;20240522;3;0;5;1;1.6666666666666667;255.66666666666666;102;0;0;0
Salvador;20240524;3;2;5;1;1.6666666666666667;338;168;0;0;0
Sao Paulo;20240520;3;2;2;0.6666666666666666;0.6666666666666666;51.333333333333336;32;0;0;0
Vila Velha;20240521;3;2;3;1;1;20.666666666666668;21;0;0;0
Vila Velha;20240523;3;2;2;0.6666666666666666;0.6666666666666666;15;19;0;0;0
Vitoria;20240524;3;3;3;1;1;24.333333333333332;23;0;0;0
Belem;20240525;2;0;2;1;1;1098;232;0;0;0
Belo Horizonte;20240526;2;2;0;0;0;111;10;0;0;0
Blumenau;20240523;2;2;3;0.75;1.5;941.5;202;0;0;0
Braganca Paulista;20240520;2;2;2;1;1;54;21;0;0;0
Brasilia;20240521;2;0;3;0.75;1.5;292.5;108;0;0;0
Brasilia;20240523;2;1;1;0.3333333333333333;0.5;53;23;0;0;0
Campinas;20240523;2;1;2;1;1;43.5;6;0;0;0
Campinas;20240526;2;2;0;0;0;77.5;31;0;0;0
Campo Grande;20240520;2;0;2;1;1;118;38;0;0;0
Campos dos Goytacazes;20240522;2;2;2;1;1;5.5;8;0;0;0
Campos dos Goytacazes;20240525;2;1;1;0.5;0.5;9.5;8;0;0;0
Florianopolis;20240523;2;1;2;1;1;211.5;35;0;0;0
Goiania;20240522;2;1;1;0.5;0.5;30;14;0;0;0
Goiania;20240525;2;0;3;0.42857142857142855;1.5;23.5;26;0;0;0
