# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240304
# Data de termino: 20240310
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20240309;84;68;71;0.6698113207547169;0.8452380952380952;81.08333333333333;1143;0;0
web / mobile;20240304;58;35;54;0.7297297297297297;0.9310344827586207;102.67241379310344;699;0;0
web / mobile;20240307;49;36;34;0.576271186440678;0.6938775510204082;125.85714285714286;571;0;0
web / mobile;20240310;49;31;49;0.7538461538461538;1;138.53061224489795;1170;0;0
web / desktop;20240304;45;19;62;0.8857142857142857;1.3777777777777778;341.0444444444444;5153;0;0
web / mobile;20240306;45;34;40;0.7142857142857143;0.8888888888888888;293.6;1013;0;0
web / desktop;20240307;43;20;51;0.85;1.186046511627907;157.06976744186048;1531;0;0
web / mobile;20240305;42;33;33;0.6346153846153846;0.7857142857142857;201.16666666666666;752;0;0
web / desktop;20240306;40;17;50;0.8771929824561403;1.25;157.35;1318;0;0
web / desktop;20240309;38;20;39;0.7358490566037735;1.0263157894736843;233.1315789473684;1378;0;0
web / mobile;20240308;38;25;34;0.68;0.8947368421052632;109.23684210526316;726;0;0
web / desktop;20240305;31;13;32;0.7272727272727273;1.032258064516129;198.2258064516129;1067;0;0
web / desktop;20240308;28;12;34;0.7906976744186046;1.2142857142857142;244.75;1695;0;0
web / desktop;20240310;21;7;25;0.8620689655172413;1.1904761904761905;148.66666666666666;616;0;0
web / tablet;20240309;2;1;1;0.5;0.5;56.5;15;0;0
