# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240219
# Data de termino: 20240225
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20240223;360;338;237;0.6303191489361702;0.6583333333333333;36.1;2401;0;0
web / mobile;20240222;75;64;67;0.6979166666666666;0.8933333333333333;84.37333333333333;1249;0;0
web / mobile;20240225;72;49;55;0.625;0.7638888888888888;113;1455;0;0
web / mobile;20240224;65;43;59;0.6704545454545454;0.9076923076923077;124.0923076923077;780;0;0
web / mobile;20240221;60;49;57;0.76;0.95;140.05;899;0;0
web / desktop;20240222;52;23;54;0.75;1.0384615384615385;257.4423076923077;2156;0;0
web / mobile;20240220;48;39;42;0.6363636363636364;0.875;321.5833333333333;1827;0;0
web / desktop;20240220;45;26;54;0.9;1.2;156.42222222222222;1208;0;0
web / desktop;20240219;41;16;51;0.7611940298507462;1.2439024390243902;240.41463414634146;1816;0;0
web / desktop;20240223;40;19;44;0.7333333333333333;1.1;266.375;1843;0;0
web / desktop;20240221;39;16;44;0.8148148148148148;1.1282051282051282;317.6666666666667;1958;0;0
web / mobile;20240219;36;23;33;0.66;0.9166666666666666;115.36111111111111;844;0;0
web / desktop;20240225;28;8;32;0.7804878048780488;1.1428571428571428;121.78571428571429;924;0;0
web / desktop;20240224;24;6;27;0.574468085106383;1.125;171.875;655;0;0
web / tablet;20240221;1;1;1;1;1;93;6;0;0
web / tablet;20240222;1;1;1;1;1;1807;114;0;0
web / tablet;20240223;1;1;1;1;1;40;5;0;0
