# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231106
# Data de termino: 20231112
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20231111;91;62;86;0.7350427350427351;0.945054945054945;127.35164835164835;1936;0;0
web / mobile;20231106;86;67;73;0.7227722772277227;0.8488372093023255;117.81395348837209;1629;0;0
web / mobile;20231108;79;55;70;0.6666666666666666;0.8860759493670886;134.08860759493672;1807;0;0
web / mobile;20231110;69;43;67;0.7127659574468085;0.9710144927536232;111.30434782608695;1321;0;0
web / mobile;20231109;68;47;65;0.7065217391304348;0.9558823529411765;189.9558823529412;1901;0;0
web / mobile;20231107;66;42;64;0.7619047619047619;0.9696969696969697;152.1969696969697;1695;0;0
web / mobile;20231112;62;39;67;0.6907216494845361;1.0806451612903225;161.6451612903226;1396;0;0
web / desktop;20231110;58;25;62;0.8378378378378378;1.0689655172413792;116.20689655172414;1437;0;0
web / desktop;20231109;55;33;58;0.7435897435897436;1.0545454545454545;188.92727272727274;2034;0;0
web / desktop;20231107;53;27;57;0.8769230769230769;1.0754716981132075;151.41509433962264;1856;0;0
web / desktop;20231106;50;22;47;0.734375;0.94;127.16;1260;0;0
web / desktop;20231108;47;19;48;0.75;1.0212765957446808;194.6595744680851;1845;0;0
web / desktop;20231111;29;11;41;0.7884615384615384;1.4137931034482758;246.24137931034483;1455;0;0
web / desktop;20231112;22;8;28;0.8;1.2727272727272727;185.9090909090909;1054;0;0
web / tablet;20231111;1;1;1;1;1;23;4;0;0
