# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231120
# Data de termino: 20231126
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20231123;85;55;90;0.782608695652174;1.0588235294117647;153.28235294117647;2319;0;0
web / mobile;20231125;79;50;73;0.7604166666666666;0.9240506329113924;131.83544303797467;1987;0;0
web / mobile;20231122;73;50;65;0.7303370786516854;0.8904109589041096;151.68493150684932;1724;0;0
web / mobile;20231126;73;46;64;0.6666666666666666;0.8767123287671232;212.08219178082192;2239;0;0
web / mobile;20231120;53;35;49;0.7903225806451613;0.9245283018867925;159.64150943396226;1276;0;0
web / desktop;20231123;51;22;56;0.8;1.0980392156862746;191.5686274509804;2321;0;0
web / mobile;20231121;49;36;43;0.6515151515151515;0.8775510204081632;127.28571428571429;971;0;0
web / desktop;20231124;46;16;47;0.8245614035087719;1.0217391304347827;154.54347826086956;1679;0;0
web / mobile;20231124;46;39;39;0.65;0.8478260869565217;100.54347826086956;625;0;0
web / desktop;20231122;41;10;52;0.8253968253968254;1.2682926829268293;168.14634146341464;1632;0;0
web / desktop;20231125;40;13;48;0.7741935483870968;1.2;195.8;1568;0;0
web / desktop;20231126;36;13;41;0.7884615384615384;1.1388888888888888;131.27777777777777;1318;0;0
web / desktop;20231120;35;16;47;0.8245614035087719;1.3428571428571427;205.02857142857144;2016;0;0
web / desktop;20231121;32;14;38;0.7169811320754716;1.1875;317.90625;2188;0;0
web / tablet;20231124;4;4;4;1;1;447.25;237;0;0
web / tablet;20231123;1;1;1;1;1;53;4;0;0
web / tablet;20231125;1;0;1;1;1;458;64;0;0
web / tablet;20231126;1;0;0;0;0;982;139;0;0
