# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240715
# Data de termino: 20240721
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Taxa de eventos principais do usuario;Receita total
Clifton;20240716;61;61;0;0;0;0;188;0;0;0
Rio de Janeiro;20240718;61;32;60;0.75;0.9836065573770492;217.08196721311475;1489;0;0;0
Santa Clara;20240715;50;50;0;0;0;0;150;0;0;0
Rio de Janeiro;20240721;45;24;49;0.7777777777777778;1.0888888888888888;115.91111111111111;720;0;0;0
Clifton;20240715;41;41;0;0;0;0;123;0;0;0
Santa Clara;20240716;32;32;0;0;0;0;96;0;0;0
Rio de Janeiro;20240717;28;15;24;0.7058823529411765;0.8571428571428571;97.75;562;0;0;0
Rio de Janeiro;20240719;23;8;22;0.7096774193548387;0.9565217391304348;194.43478260869566;505;0;0;0
Santa Clara;20240721;22;22;0;0;0;0;66;0;0;0
Santa Clara;20240720;21;21;0;0;0;0;64;0;0;0
Rio de Janeiro;20240715;19;6;19;0.7307692307692307;1;131.94736842105263;399;0;0;0
Rio de Janeiro;20240716;19;12;18;0.6206896551724138;0.9473684210526315;225.26315789473685;712;0;0;0
Clifton;20240721;18;18;0;0;0;0;54;0;0;0
Rio de Janeiro;20240720;14;5;12;0.631578947368421;0.8571428571428571;92.42857142857143;415;0;0;0
(not set);20240721;13;10;9;0.6923076923076923;0.6923076923076923;33;60;0;0;0
Clifton;20240720;13;13;0;0;0;0;40;0;0;0
Sao Paulo;20240721;12;9;11;0.8461538461538461;0.9166666666666666;68.66666666666667;132;0;0;0
Niteroi;20240721;8;5;7;0.7;0.875;220.75;197;0;0;0
Niteroi;20240718;7;3;7;0.875;1;100.42857142857143;82;0;0;0
Brasilia;20240721;6;3;7;0.7;1.1666666666666667;373.8333333333333;387;0;0;0
Sao Paulo;20240719;6;3;6;1;1;40.666666666666664;35;0;0;0
(not set);20240716;5;4;5;1;1;8.6;22;0;0;0
(not set);20240719;5;4;3;0.6;0.6;31.2;35;0;0;0
Sao Paulo;20240715;5;4;5;0.8333333333333334;1;20.4;31;0;0;0
Sao Paulo;20240720;5;4;3;0.6;0.6;47.8;55;0;0;0
(not set);20240715;4;3;3;0.75;0.75;91.5;41;0;0;0
Niteroi;20240720;4;1;4;1;1;44.75;43;0;0;0
Sao Paulo;20240718;4;4;4;1;1;143;110;0;0;0
(not set);20240718;3;1;2;0.5;0.6666666666666666;25.666666666666668;17;0;0;0
Brasilia;20240718;3;2;4;0.8;1.3333333333333333;66.33333333333333;62;0;0;0
Campinas;20240721;3;3;2;0.6666666666666666;0.6666666666666666;45;25;0;0;0
Cuiaba;20240721;3;1;4;1;1.3333333333333333;24;36;0;0;0
Curitiba;20240721;3;3;2;0.6666666666666666;0.6666666666666666;95.33333333333333;63;0;0;0
Duque de Caxias;20240718;3;2;2;0.4;0.6666666666666666;7.333333333333333;27;0;0;0
Duque de Caxias;20240721;3;1;4;1;1.3333333333333333;119;47;0;0;0
Manaus;20240719;3;2;3;1;1;32;27;0;0;0
Niteroi;20240716;3;2;5;1;1.6666666666666667;108.33333333333333;41;0;0;0
Niteroi;20240719;3;3;3;1;1;159.66666666666666;62;0;0;0
Salvador;20240718;3;1;3;1;1;239;154;0;0;0
Salvador;20240720;3;2;3;1;1;151;42;0;0;0
Sao Goncalo;20240717;3;1;2;0.6666666666666666;0.6666666666666666;69.66666666666667;60;0;0;0
Sao Paulo;20240717;3;2;3;1;1;11.333333333333334;16;0;0;0
(not set);20240717;2;2;2;1;1;9;8;0;0;0
